,Job Title,company,Location,Employment Type,level,requirement,description,Experience Needed,skills
0,Senior Cloud Automation Engineer,Evolvice GmbH,"Cairo, Egypt",Full Time,Experienced (Non-Manager),[],[],4 To 8 Years,"['AWS', 'Engineering']"
1,Senior Cloud Engineer - LLM & GenAI,Antal International,Egypt,Full Time,Not Specified,[],"['Degree in Computer Science, Software Engineering, Information Technology, or a related field. ', 'At least 5 years of experience in the development and maintenance of AWS-based cloud environments designed to host Data, Analytics, and AI applications.', 'Experience with Azure AI service is a plus. ', 'Proficiency in infrastructure as a code (e.g., Terraform, CloudFormation) and other serverless services such as Lambda, API Gateway, CloudWatch, etc. ', 'Experience with good API development practices, RESTful services, web sockets, and container orchestration services such as Kubernetes or AWS ECS. ', 'Experienced with version control (git), automated testing, continuous integration, and deployment (Continuous Deployment for Machine Learning / CD4ML is a plus).   ', 'Familiar with enterprise security aspects such as SSL, TLS, HTTPS, LDAP, Active Directory, Oauth, JWT, and bearer authentication. ', 'Good understanding of AWS networking and infrastructure (e.g., VPC, load balancer, subnets, security groups). ', 'Hands-on experience with architectural design, architectural prototyping, and testing (test case definition and test verification). ']",Not Specified,"['Engineering', 'Information Technology (IT)', 'Computer Science', 'Software Engineering', 'Software Development', 'Computer Engineering', 'Mechanical Engineering', 'Electrical Engineering', 'Quality Control', 'Civil Engineering', 'Quality Assurance', 'Software Testing', 'Sales', 'AutoCAD', 'SQL', 'Construction', 'Architecture', 'Sales Skills', 'Testing', 'Software']"
2,Junior Operations Engineer - Network/Cloud,Link Datacenter,"Giza, Egypt",Full Time,Entry Level (Junior Level / Fresh Grad),"['CCNA is  a MUST', 'MCSA is  a MUST', 'Bachelor degree from a reputable university (Communications engineering or computer science background is preferred).', 'Ambitious skilled Fresh graduates are welcomed up to 1” year of experience working in data centers or other critical environments.', 'Good command of English language.', 'Basic Windows OS implementation/administration.', 'Basic Linux OS (Redhat-Centos) implementation/administration.', 'Basic MS SQL Administration.', 'Monitoring and data backup Applications good background.', 'Basic servers’ hardware installing/racking knowledge.', 'Technical Document writing.', 'IT project management principals.', 'Very good communication skills with a friendly customer oriented manner.', 'Very Good Presentation, analytical & Problem Solving Skills.', 'Ability to work under pressure and meet deadlines while handling multi-tasks at a time.']","['Install, move, de-install customers’ hardware and Initial configuration of system OS as needed.', 'Network and SAN cabling.', 'Deploying and Operating the Monitoring systems.', 'Installing all new Solution, Systems and solving all incompatibility problems.', 'Problem management and troubleshooting for all the monitoring solutions problems.', 'Implementing the monitoring solutions for all the Infrastructure department systems.', 'Deploying and operating the backup systems.', 'Isolate server and network issues and rapidly and perform basic troubleshooting.', 'Working with other technical teams and customers to solve technical problems if needed.', 'Acting as on-call support for any problems escalation out of working hours according to schedule.', 'Perform other duties as assigned by Management.']",0 To 1 Year,"['Information Technology (IT)', 'Communication', 'Operations', 'Project Management', 'SQL', 'Management', 'Communication skills', 'Computer Science', 'English', 'Linux', 'Engineering', 'CCNA']"
3,Infrastructure and Cloud Engineer,Dolf,"Khobar, Saudi Arabia",Full Time,Experienced (Non-Manager),"[""Infrastructure Management:\nOversee the day-to-day operations of our Mini data center, including managing physical servers, virtualization platforms (Hyper-V), and network infrastructure, ensuring efficient resource allocation and high availability.\nMonitor and troubleshoot virtualization issues, collaborating with the IT support team as needed.\nAdminister Linux servers (Ubuntu, Centos), including installation, configuration, and troubleshooting, and implement security measures and updates for Linux server environments.\nAdminister and maintain network infrastructure, including routers, switches, and firewalls.\nManage DNS configurations to ensure optimal performance and reliability.\nEnsure the stability, security, and scalability of the company's IT infrastructure.\nCollaborate with cross-functional teams to design and implement infrastructure solutions aligned with business needs."", 'Oversee the day-to-day operations of our Mini data center, including managing physical servers, virtualization platforms (Hyper-V), and network infrastructure, ensuring efficient resource allocation and high availability.', 'Monitor and troubleshoot virtualization issues, collaborating with the IT support team as needed.', 'Administer Linux servers (Ubuntu, Centos), including installation, configuration, and troubleshooting, and implement security measures and updates for Linux server environments.', 'Administer and maintain network infrastructure, including routers, switches, and firewalls.', 'Manage DNS configurations to ensure optimal performance and reliability.', ""Ensure the stability, security, and scalability of the company's IT infrastructure."", 'Collaborate with cross-functional teams to design and implement infrastructure solutions aligned with business needs.', 'Cloud Services Management:\nManage and optimize our cloud services, including hosting software solutions.\nCollaborate with local cloud service providers and partners to ensure seamless integration and performance.\nImplement best practices for security, scalability, and cost optimization in cloud environments.\nImplement monitoring solutions to track the performance and availability of cloud resources.\nIdentify opportunities for optimization and cost-efficiency in cloud services.\nStay informed about the latest security threats and implement measures to mitigate risks.', 'Manage and optimize our cloud services, including hosting software solutions.', 'Collaborate with local cloud service providers and partners to ensure seamless integration and performance.', 'Implement best practices for security, scalability, and cost optimization in cloud environments.', 'Implement monitoring solutions to track the performance and availability of cloud resources.', 'Identify opportunities for optimization and cost-efficiency in cloud services.', 'Stay informed about the latest security threats and implement measures to mitigate risks.', 'Database Management:\nManage MySQL/PostgreSQL databases, including installation, configuration, backup, and performance tuning.\nCollaborate with development teams to ensure efficient database design and functionality.', 'Manage MySQL/PostgreSQL databases, including installation, configuration, backup, and performance tuning.', 'Collaborate with development teams to ensure efficient database design and functionality.', 'Active Directory and Identity Management:\nAdminister and maintain Active Directory services to support user authentication, authorization, and access control.\nImplement identity management best practices to enhance security and streamline user access.', 'Administer and maintain Active Directory services to support user authentication, authorization, and access control.', 'Implement identity management best practices to enhance security and streamline user access.', 'Microsoft Services:\nAdminister and optimize Microsoft Office 365 subscription for email services.\nEnsure email security, compliance, and effective communication with end-users.', 'Administer and optimize Microsoft Office 365 subscription for email services.', 'Ensure email security, compliance, and effective communication with end-users.', 'Backup and Disaster Recovery:\nDevelop and implement backup and disaster recovery strategies to safeguard critical data and ensure business continuity.', 'Develop and implement backup and disaster recovery strategies to safeguard critical data and ensure business continuity.', 'Collaboration and Communication:\nCollaborate with IT teams, developers, and project managers to support the implementation of technology solutions.\nProvide technical guidance and expertise to team members.', 'Collaborate with IT teams, developers, and project managers to support the implementation of technology solutions.', 'Provide technical guidance and expertise to team members.', 'Bachelor’s degree in computer science, Information Technology, or a related field.', 'Proven experience in managing on-premises data centers and cloud environments.', 'Strong expertise in virtualization technologies (VMware/Hyper-V).', 'Experience with MySQL database administration.', 'Strong knowledge of network infrastructure, DNS configurations, and Ubuntu server administration.', 'In-depth knowledge of Active Directory, identity management, and email services (Office 365).', 'Familiarity with backup and disaster recovery solutions.', 'Excellent problem-solving and troubleshooting skills.', 'Strong communication and collaboration skills.', 'Familiarity with other cloud platforms (e.g., AWS, Azure).', 'Certification in cloud technologies (e.g., AWS Certified Cloud Practitioner).', 'Experience with virtualization technologies (e.g., VMware, Hyper-V).', 'Health insurance', 'Professional development opportunities', 'Collaborative and dynamic work environment']",[],2 To 5 Years,"['Engineering', 'Information Technology (IT)', 'Cloud', 'Infrastructure']"
4,Senior Snowflake Cloud Engineer,Antal International,Egypt,Full Time,Not Specified,[],"[""Master's degree in Computer Science, Software Engineering, Statistics, Mathematics, or a related field preferred. "", 'Hands-on software development experience with a specialized focus on Snowflake engineering, complemented by a robust understanding of AWS and/or Azure. ', 'Extensive grasp of technologies from data ingestion to advanced analytics and hold significant experience, possibly certified, with major cloud services (notably AWS, Azure, or Snowflake). ', 'Proficiency in Infrastructure as Code is commendable, showcasing experience with tools like Terraform and CloudFormation. ', 'Expert in database design and best practices as well as tools like DBT. ', 'Familiarity with version control (git), automated testing, continuous integration, and deployment, including CD4ML, is crucial. ', 'Good knowledge of cloud Networking and Infrastructure, especially in AWS or Azure settings. ']",Not Specified,"['Computer Science', 'Information Technology (IT)', 'Engineering', 'Cloud', 'Software Development', 'Software Engineering', 'Cloud Engineering', 'DNS', 'IaaS', 'Linux', 'AWS', 'Computer Engineeirng', 'Kubernetes', 'Office 365', 'PaaS', 'SaaS', 'Azure', 'IT Infrastructure', 'Microsoft Azure', 'Microsoft Exchange']"
5,Oracle Cloud SCM Consultant,Oracle,Egypt,Full Time,Not Specified,[],"['Delivering ERP projects focused on Oracle Fusion SCM Cloud.', 'Using our own methodologies to transform client’s businesses.', 'Being available to travel to client sites potentially internationally.', 'Where needed, carry out additional responsibilities such as; presales, demo, solution design, business development, requirements gathering, workshop delivery, business process design, functional and technical design, systems configuration, test , deployment and training.', 'Ability to perform in a workstream, organizing, mentoring and providing quality assurance on deliverables', 'Responsible for the creation of quality solution documentation, including, Functional specifications reference to Oracle Consulting Methodologies', 'Responsible for the Configuration / build of Oracle Fusion SCM solutions', 'Expert in Oracle Fusion SCM and integrated modules / products', 'Participate in design discussions with client and lead design and process discussions', 'Support the evaluation of the solution scenarios', 'Detailing of the technical specifications required to deliver the functional requirements of the solution', 'Ability to assist and provide the technical team any business clarification required for technical developments', 'Ability to manage the stream deliverables', 'Responsible for data migration and cutover topics for the stream', 'Responsible for issue resolution post go-live and transition to support', 'A minimum of 4 full lifecycle implementation projects covering ERP Supply Chain Management (SCM) modules Fusion Cloud.', 'Implementation experience of 3 or more in Oracle SCM modules,\nFusion Procurement\nFusion Inventory Management\nFusion Costing\nFusion Product Hub\nFusion Order Management\nFusion Manufacturing\nFusion Supply Planning\nFusion Maintenance', 'Fusion Procurement', 'Fusion Inventory Management', 'Fusion Costing', 'Fusion Product Hub', 'Fusion Order Management', 'Fusion Manufacturing', 'Fusion Supply Planning', 'Fusion Maintenance', 'EBS Experience is an add on.', 'Demonstrable experience in several of the following activities on ERP projects; requirements gathering, fit/gap analysis, solution design, functional configuration, Conference room pilots / prototype demonstrations, testing, Integration, data migration, training, post ‘go live’ support.', 'Strong troubleshooting/problem-solving skills', 'Strong meeting facilitation/presentation skills', 'Strong client relationship skills']",Not Specified,"['Information Technology (IT)', 'Oracle', 'Computer Science', 'Engineering', 'HCM', 'SCM', 'EBS', 'Fusion', 'Cloud', 'ERP', 'Purchasing', 'OUM', 'Oracle Cloud HCM', 'PLSQL', 'Software', 'Software Development', 'Computer Engineering', 'English', 'Fusion Cloud', 'Inventory']"
6,Palantir Foundry Cloud Tech Lead,Antal International,Egypt,Full Time,Not Specified,[],"['B.Sc. (or higher) Degree in Computer Science, Software Engineering, Statistics, Mathematics, or a related field.', 'Hands-on software development experience, strong track record focusing on software delivery with profound experience building cloud-native systems.', 'Technical leadership experience leading & tutoring engineering teams to deliver complex software and services.', 'Extensive skills in ETL design and development using Python, PySpark or Java.  ', 'Experience in cloud technologies and services required from ingesting, storing, and manipulating data to building advanced analytics, in-depth experience and ideally relevant certification with services with AWS, Palantir Foundry or Azure (Architect, Networking, Security, SysOps).', 'Establish software engineering best practices incl. DevOps/MLOps, working cross-functionally.', 'Proficiency and experience with infrastructure as code, good API design practices, Linux containers, and containerized applications.', 'Understanding of the concepts of various fields of software engineering, such as web frontends and backends, SQL and NoSQL databases, continuous integration and continuous deployment, as well as system security and identity management.', 'Experience with version control (git), automated testing, continuous integration, and deployment (also including Continuous Deployment for Machine Learning / CD4ML).', 'Experience in a regulated environment is a plus (GxP).']",Not Specified,"['information technology (it)', 'computer science', 'aws', 'docker', 'python', 'software development', 'software engineering', 'linux', 'java', 'devops', 'software', 'azure']"
7,Senior Azure DevOps Engineer,Perfect Presentation,"Cairo, Egypt",Full Time,Experienced (Non-Manager),[],[],5 To 7 Years,"['Azure', 'DevOps', 'Linux', 'CI/CD', 'Software Development', 'Docker', 'Cloud', 'MongoDB', 'MySQL']"
8,Devops Engineer,DAF Holding,"Maadi, Cairo",Full Time,Experienced (Non-Manager),"['Experience with Kubernetes: Essential for managing and scaling our containerized applications efficiently.', 'Proficiency in AWS/Digital Ocean: To manage our cloud infrastructure, ensuring optimized performance and cost-effectiveness.', 'Familiarity with GitHub Actions/Jenkins: Crucial for automating our CI/CD pipelines, and enhancing deployment efficiency.', 'Strong Background in Linux/Unix Administration: Key for managing our servers and ensuring system stability.', 'Scripting Skills (e.g., Python, Bash): To automate routine tasks and improve system management processes.', 'Understanding of Network Architecture and Security Principles: To maintain and enhance the security and integrity of our infrastructure.', 'Experience with Infrastructure as Code (IaC) Tools: Such as Terraform or Ansible, for efficient management of our infrastructure.', 'Problem-solving attitude', 'Team spirit', 'BSc in Computer Science, Engineering or relevant field']","['Implement integrations requested by customers', 'Deploy updates and fixes', 'Provide Level 2 technical support', 'Build tools to reduce occurrences of errors and improve customer experience', 'Develop software to integrate with internal back-end systems', 'Perform root cause analysis for production errors', 'Investigate and resolve technical issues', 'Develop scripts to automate visualization', 'Design procedures for system troubleshooting and maintenance']",2 To 4 Years,"['AWS', 'CI/CD', 'DevOps', 'Information Technology (IT)', 'Engineering', 'Python', 'Linux', 'Software Development', 'Kubernetes', 'Jenkins', 'Computer Science', 'Cloud']"
9,System Administrator/DevOps Engineer,Safa Soft,"Maadi, Cairo",Full Time,Experienced (Non-Manager),"['Operations or systems administration experience, particularly on Linux.', 'At least 3 years of experience with Kubernetes, Docker, and/or cloud deployment technologies.', 'Experience with container networking on Docker.', 'Experience with application deployment by using CI/CD.', 'Experience with monitoring tools like Prometheus, Grafana, Datadog, etc.', 'Experience with alerting tools like OpsGenie, PagerDuty, etc.']","['Implement and improve monitoring and alerting.', 'Build and maintain highly available systems on Kubernetes.', 'Implement and manage CI/CD pipelines.', 'Implement an auto-scaling system for our Kubernetes nodes.', 'Ability to work with agile development teams.', 'Demonstrated proficiency with automated configuration management tools (Puppet, Ansible, Chef)', 'Ensure security through access controls, backups and firewalls.', 'Upgrade systems with new releases and models. ', 'Responsible for application administration activities in support of development, user acceptance test and production systems supporting web-deployed applications', 'Monitoring internal and production hosts using Nagios, Cacti, and other application performance monitoring systems.', 'Working with Developers and other Engineers in troubleshooting internal production issues.', 'Performing network and operational tasks in the internal and production systems.', 'Scripting operational tasks for faster and less error-prone execution.', 'Working with the Operations and Product Development teams in continually improving the company’s automated software deployment process.', 'Maintaining and evolving the security infrastructure on both internal and production environments.', 'Working with the Operations and Product Development teams in continually improving the company’s automated software deployment process.', 'Maintaining and evolving the security infrastructure on both internal and production environments.']",3 To 5 Years,"['Information Technology (IT)', 'Docker', 'Linux', 'Networking', 'System Administration', 'Cloud', 'Computer Science', 'Engineering', 'Kubernetes']"
