,Job Title,company,Location,Employment Type,level,requirement,description,Experience Needed,skills
0,Data Analyst/Marketing Analytics Specialist - Working Remotely,King keeper child skills development LLC,"Cairo, Egypt",Full Time,Experienced (Non-Manager),"['Working knowledge of data analytics and visualization software.', 'Familiarity with SEO/SEM and Google Analytics.', 'Strong analytical and critical thinking.']","['Analyze sales funnels and customer intent.', 'Measure ROI of online and offline advertising campaigns.', 'Report on marketing KPIs like leads, conversion rates, website traffic, and social media engagement.', 'Track email campaign metrics.', 'Analyze competitive market strategies.']",5 To 11 Years,"['Analyst', 'Data', 'Google Analytics', 'Data Analyst', 'Analytics', 'Marketing Analytics', 'Social Media', 'SEO', 'Marketing', 'Data Analytics']"
1,Data Analyst,Zumra Food,"Nasr City, Cairo",Full Time,Experienced (Non-Manager),"['BS in Computer Science, Information Management or Statistics', 'Proven working experience as a Data Analyst or Business Data Analyst', 'Technical expertise regarding data models, database design development, data mining and segment ', 'Proven success in a collaborative, team-oriented environment', 'Strong written and verbal communication skills in both AR and EN. ', 'Analytical skills', 'Problem solving skills.', 'critical thinking']","['Using automated tools to extract data from primary and secondary sources', 'Removing corrupted data and fixing coding errors and related problems', 'Developing and maintaining databases, and data systems – reorganizing data in a readable format ', 'Performing analysis to assess the quality and meaning of data', 'Filter Data by reviewing reports and performance indicators to identify and correct code problems', 'Using statistical tools to identify, analyze, and interpret patterns and trends in complex data sets could be helpful for the diagnosis and prediction', 'Assigning numerical value to essential business functions so that business performance can be assessed and compared over periods of time.', 'Analyzing local, national, and global trends that impact both the organization and the industry', 'Preparing reports for the management stating trends, patterns, and predictions using relevant data', 'Working with programmers, engineers, and management heads to identify process improvement opportunities, propose system modifications, and devise data governance strategies. ', 'Preparing final analysis reports for the stakeholders to understand the data-analysis steps, enabling them to take important decisions based on various facts and trends']",2 To 4 Years,"['Analyst', 'analytical', 'business', 'Analysis', 'Computer Science', 'Data Analysis', 'Data Analyst']"
2,Data Analyst,Selah ElTelmeez For Publishing & printing,"Obour City, Cairo",Full Time,Experienced (Non-Manager),[],[],1 To 3 Years,"['Analysis', 'analytical', 'business', 'Computer Science', 'Data Analysis', 'Data Analyst', 'Reporting', 'Statistics']"
3,Senior Data Analyst,Basata,"Mokattam, Cairo",Full Time,Experienced (Non-Manager),"['Bachelor’s degree in Computer Science, or Engineering.', 'Excellent experience in SQL.', 'Proven Experience with Data warehouse.', 'Proven Experience with Business Intelligence tool (Qlik, OBIEE).', '3+ years of hands-on experience in design and implementation of ETL framework for complex data warehouse projects.', 'Excellent knowledge of relational data modeling (ERD), SQL and data warehousing.', 'Experience in multiple database platforms, including POSTGRES, SQL Server, Oracle.', 'Hands-on experience in writing complex T-SQL and database performance tuning.', 'Should have expert level experience in building data lakes and data marts by working with each business unit and building high impact BI reports ,data warehouse projects ', 'Good knowledge with MS office (Excel, Word … ETC).']","['Extract and integrate data from different sources to Data warehouse.', 'Create BI dashboards and reports.', 'Provide consultation and trainings to teams who work with BI Solutions.', 'Collaborate with business leads, application owners, end users and third-party contacts to design, implement and test data warehouse applications in a phased manner.', 'Develop and test unit, system, performance with regression on ETL mappings.']",5 To 7 Years,"['Analysis', 'BI', 'Data Analysis', 'Data', 'Database', 'ETL', 'Information Technology (IT)', 'Oracle', 'SQL', 'Computer Science']"
4,Data analyst,NOK for Human Capital Solutions,"New Cairo, Cairo",Full Time,Experienced (Non-Manager),"['FMCG sales analysis experience/ business development background, knowledge of route to market \n- 2-5 years of experience']",[],2 To 5 Years,"['Analysis', 'Sales', 'Sales Analysis']"
5,Data Analyst Section Head,Cairo Three A Poultry,"New Cairo, Cairo",Full Time,Experienced (Non-Manager),[],"['Collecting and interpreting large volumes of data from various sources, such as sales records, customer feedback, and market research.', 'Analyzes all the sales data for all the areas.', 'Responsible for providing all the sales reports for the sales team.', 'Developing data models and analysis tools to identify trends and patterns in the data.', 'Analyzing and interpreting data to provide insights and recommendations that support business decisions.', 'Creating reports, visualizations, and dashboards to present data in an easily understandable format for stakeholders.', 'Collaborating with cross-functional teams, such as marketing, finance, and operations, to drive business growth and improve performance.', 'Ensuring data accuracy and integrity by performing regular audits and quality checks.', 'Identifying opportunities to optimize processes and improve data collection and analysis methods.']",7 To 12 Years,"['Data Analysis', 'ERP', 'Oracle ERP']"
6,Data Analyst - Pharmacist,Beyond Solution,"Maadi, Cairo",Full Time,Entry Level (Junior Level / Fresh Grad),"['Bachelor’s degree Medical Background (pharmacist is a must).', '1-2 Years experience in Same Field.', 'Data Analysis skills is a must', 'Excellent Excel user is a must', 'Very good written and spoken English.', 'Presentation skills.', 'Insurance background.', 'Free from the governmental assignment.', 'Proactive mindset.', 'Communication and Negotiation skills.', 'Follow up skills.', 'Team player.', 'Organized.', 'Self-Motivated.', 'Goal Oriented.']","[""Monitoring the account's consumption on a monthly basis."", 'Monitor pool consumption.', 'Deep analysis for the services per account as per the contract terms,', ""Review the top claimants' consumption and report them."", 'Monitor the abuse and fraud cases.', 'Prepare an action plan for cost containment and renewals for the accounts.', 'Link the consumption reports with the healthcare solutions.', 'Prepare general and customized wellness tips.']",1 To 2 Years,"['Medical', 'Medical Insurance', 'Reviewing', 'Pharmacy', 'MS Office', 'Microsoft Excel', 'English', 'Data Analytics', 'Data Analysis', 'Advanced excel', 'Medical utilization']"
7,Data Analyst,EGEC,"Haram, Giza",Full Time,Experienced (Non-Manager),"['Support Function Departments.', 'Bachelor of Commerce ', 'Experience 2 - 5 years', 'Computer Skills Basic using for Microsoft office', 'Languages Excellent English language', 'Ability to communicate effectively at all levels both verbally and in writing.', 'Able to plan, organize and priorities workload.', 'Knowledge of Operations Management Systems.', 'Sound understanding of business needs and a strong commercial focus.', 'A flexible, “can do” attitude and approach.', 'Proven skills in presenting and reporting.', 'Good knowledge of Microsoft Office; Project Management and Scheduling software.', 'Strong oral and written communication skills.', 'Good analytical and problem-solving skills.', 'Mature interpersonal skills.']","['Use the data management software to collect data for the different projects within the organization.', 'Provide alert when data is missing.', 'Perform analysis for the available data to get the key performance indicators.', 'Based on the analysis, prepare a report on the project status.', 'Interpret and correlate the different project documents.', 'Investigate the reasons for non-compliance in the project performance.', 'Electronic archiving of the resulting reports with the project data.', ' ']",2 To 5 Years,"['analytical', 'Analysis', 'Computer Science', 'Reporting', 'Data Analysis', 'Communication skills']"
8,Data Analyst,Best Technology Solutions (B.T.S),"Mansoura, Dakahlia",Full Time,Entry Level (Junior Level / Fresh Grad),"['Strong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL etc), programming (XML, Javascript, or ETL frameworks)', 'Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy', 'Adept at queries, report writing and presenting findings', 'BS in Mathematics, Economics, Computer Science, Information Management or Statistics']","['Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality', 'Acquire data from primary or secondary data sources and maintain databases/data systems', 'Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems', 'Work with management to prioritize business and information needs', 'Locate and define new process improvement opportunities']",0 To 1 Year,"['Data Analysis', 'Management']"
9,Data Analyst,MEAHCO,Saudi German Health,Full Time,Experienced (Non-Manager),[],[],2 To 4 Years,"['Analysis', 'business']"
