,Job Title,company,Location,Employment Type,level,requirement,description,Experience Needed,skills
0,Data Engineer,Cilantro,"Maadi, Cairo",Full Time,Entry Level (Junior Level / Fresh Grad),"['Core understanding of OOP, and preferred proficiency in Python ', 'Fair knowledge of SQL ', 'Basic understanding of database systems  ', 'Fair knowledge of cloud providers, preferably GCP  ', 'Basic understanding of cloud data warehouses, preferably Big Query ', 'Experience using Pandas ', 'Experience with data workflow orchestration (Airflow) ', 'Nice to have: Machine learning and predictive analytics algorithms, experience using SQLAlchemy and Flask', 'Tech-savviness, continuous self-improvement, good self-learner, proactive, ambitious and result-oriented', 'An interest to learn more about: ']","['ETL maintenance for data freshness and warehouse uptime ', 'Integrate new data sources to ETL ', 'Build monitoring dashboards for data delivery and quality ', 'Data platform infrastructure maintenance and expansion when necessary ', 'Support in analytical dashboards creation and interfaces for stakeholders ', 'Adapting and evolving the data platform based on business requirements', 'Aid in maintenance of OPPE Flask web application ', 'Aid in maintenance and development of other analytics tools']",1 To 3 Years,"['Computer Engineering', 'BI', 'Computer Science', 'Engineering', 'Information Technology (IT)', 'Python', 'SQL', 'OOP', 'Algorithms']"
1,Senior Data Engineer,DXC.technology,"Cairo, Egypt",Full Time,Not Specified,[],"['As a Senior Data Engineer, you will have the opportunity to contribute to the development of cutting-edge analytical models and play a crucial role in ensuring the success of our projects. If you are passionate about data engineering, possess the required skill set, and thrive in a collaborative environment, we would love to hear from you.']",Not Specified,"['Engineering', 'Information Technology (IT)', 'Computer Science', 'Software Engineering', 'Software Development', 'Computer Engineering', 'Mechanical Engineering', 'Electrical Engineering', 'Quality Control', 'Civil Engineering', 'SQL', 'Quality Assurance', 'Software Testing', 'AutoCAD', 'Sales', 'Construction', 'Architecture', 'Software', 'Testing', 'Sales Skills']"
2,Data Scientist | ML Engineer,Giza Systems,"New Cairo, Cairo",Full Time,Experienced (Non-Manager),[],[],5 To 12 Years,"['Computer Science', 'Data Science', 'data scientist', 'Information Technology (IT)', 'ML', 'Python', 'Data', 'Spark', 'SQL', 'Statistics', 'Machine Learning', 'Data Mining', 'Data Analysis', 'Analysis']"
3,Big Data Engineer,Giza Systems,"New Cairo, Cairo",Full Time,Experienced (Non-Manager),[],[],2 To 5 Years,"['Big Data', 'Computer Engineering', 'Computer Science', 'Database', 'Design', 'Engineering', 'Information Technology (IT)', 'Java', 'Python', 'SQL', 'Troubleshooting', 'Programming']"
4,Senior Data Quality Engineer,Qeema,"Riyadh, Saudi Arabia",Full Time,Experienced (Non-Manager),"['Bachelor’s or Master’s degree in Computer Science, Information Systems, Data Science, or a related field.', '5+ years of experience in data quality, data governance, or a related area.', 'Proven track record of implementing data quality improvement projects.']","['Develop and maintain a comprehensive data quality management framework.', 'Implement data quality standards, metrics, and KPIs to measure and improve the quality of data.', 'Conduct regular data audits and quality assessments.', 'Collaborate with data governance teams to develop policies and procedures that ensure data accuracy and consistency across the organization.', 'Ensure compliance with data privacy and regulatory requirements (GDPR, CCPA, etc.).', 'Identify root causes of data quality issues and work on continuous improvement plans.', 'Lead cross-functional teams in resolving complex data quality problems.', 'Work with various business units to understand their data requirements and quality expectations.', 'Communicate data quality findings and recommendations to both technical and non-technical stakeholders.', 'Select, implement, and manage data quality tools and software.', 'Stay abreast of advancements in data quality technologies and methodologies.', 'Mentor and lead a team of data quality analysts.', 'Provide training and support to team members on data quality tools and best practices.', 'Expertise in SQL and database technologies.', 'Proficiency in data modeling and data warehousing concepts.', 'Experience with ETL processes and data integration.', 'Proficiency in using data quality tools such as Informatica Data Quality, IBM InfoSphere Information Analyzer, Talend Data Quality, SAS Data Management, and Trillium Software.', 'Experience with data profiling, data cleansing, and data enrichment tools.', 'Strong analytical skills with the ability to identify trends and patterns in complex data sets.', 'Excellent problem-solving abilities to address data quality issues.', 'Strong verbal and written communication skills.', 'Ability to explain complex data issues in simple terms to non-technical stakeholders.', 'Experience in managing data-focused projects with a track record of successful delivery.', 'Understanding of data protection laws and regulations.', 'Certifications in data quality, data governance, or related fields are a plus.', 'Familiarity with advanced analytics and data science methodologies.', 'Understanding of business processes and how data quality impacts business decisions.']",5 To 7 Years,"['data quality', 'Data', 'Information Systems', 'Information Technology (IT)', 'Data Science']"
5,Data Science Instructor,EpsilonAI,"Nasr City, Cairo",Full Time,Experienced (Non-Manager),"['Expert level in Python including Numpy, Pandas, Scikit-learn', 'Proficiency in Relational and non-relational databases, and Cloud computing with in-depth knowledge of machine learning and artificial intelligence libraries, and APIs.', 'Strong foundation in Mathematics', 'Expert level in MLlib', 'Excellent programming skills (including OOP and preferably functional programming)', 'Solid Understanding of Machine Learning Models; Data Preparation, Cleaning up data; Mathematics; Model Deployment', 'Solid understanding of Data Science techniques', 'Excellent software engineering skills (Agile methodologies, Git, continuous development, etc.)', 'Lead project sprints, helping Trainees scope and execute larger technical projects to demonstrate mastery of each content module', 'Diligently respond to Trainees needs and questions during the course schedule', 'Acts as a technical mentor guiding Trainees on a technical journey of discovery', 'Working experience in data science', 'Bachelor’s degree (or higher) in -Computer Science or related field preferred', 'A minimum of 1-year experience with research/development/application of Data Science', 'Experience using technology and interactive electronic materials to support teaching and learning.', 'Experience using a Learning Management System such as Google Classroom, Canvas']","['Epsilon AI Institute is hiring Data Science instructors who Manage and delivers the course materials to trainees in an engaging thought-provoking manner', 'The successful candidate will be able to contribute to the delivery of topics relating to Artificial Intelligence, Machine Learning, Data Science and Programming', 'Engage in the classroom and reply to emails, Trainees’ questions, etc. within 24 hours on non-holiday weekdays.', ""Evaluate and grade Trainees' class work, assignments, and papers within the timeframe set forth by Epsilon AI policy providing effective feedback to guide Trainees' learning and success."", ""Maintain the cadence of the course: Keep Trainees on track, monitor each individual's progress, and design and implement learning or service interventions when Trainees fall behind""]",More Than 1 Year,"['Data Science', 'Computer Science', 'Computer Engineering', 'Python', 'Machine Learning', 'Deep Learning', 'Artificial Intelligence (AI)', 'Software Engineering', 'OOP', 'Programming', 'Mathematics', 'Mathematics Teaching', 'Mathematics Curriculum', 'applied mathematics', 'Information Technology (IT)', 'Software Development']"
6,Sales Data Analytics Specialist,Merck Sharp & Dohme Corp,"Dubai, United Arab Emirates",Full Time,Not Specified,[],"['Generate and publish to the organization all the regular reporting related to sales and competitor data, through the update of the data in the available dashboards and reports', 'Continuously review and maintain the accuracy of the data used for the dashboards & reports and support on the data quality remediation activities', 'Support cross functional processes, initiatives and requests related to forecast, target setting, performance & Sales Incentive Plan and business reviews', 'Develop and roll out innovative and insightful data visualizations in the Data Analytics platform related to sales, forecast, competitor, performance and business reviews', 'Collaborate with the business teams to continuously identify and integrate new requirements, new analysis or new data sources that would help address business priorities', 'Automate the publication and communication of reports through the dedicated module of the Data Analytics platform', 'Drive the automation and the improvement of the frequency of the data sources', 'Support on the change management initiatives with the users across the organization: onboarding & training, preparing dedicated content, sending communications on a regular basis', 'Experience of Data Analytics tools and in creating visualizations and dashboards', 'Experience in data modeling', 'Experience in programming', 'Experience of interacting with diverse business functions of an organization', 'Excellent business acumen, with proven ability to understand and translate business needs and expectations into requirements and technical solutions', 'Strong project management methodology, time management and organizational skills to be able to manage several projects in parallel', 'Collaborative and team player', 'Strong analytical mindset', 'Making things happen, facilitator', 'Proactive & striving for excellence', 'Efficient reporting capability', 'Motivated by a challenging task, challenges the status quo']",Not Specified,"['SQL', 'Sales', 'Sales Skills', 'Indoor Sales', 'Outdoor Sales', 'Analysis', 'Computer Science', 'Data Analysis', 'Economics', 'Information Technology', 'Information Technology (IT)', 'AWS', 'Analyst', 'Analytic Specialisit', 'BI', 'Collections', 'Computer Engineering', 'Data Analytics', 'Data Integration', 'Data Model']"
7,Process Improvement Engineer,Lumin,"Sheikh Zayed, Giza",Full Time,Experienced (Non-Manager),"['Data Collection, Management and analysis', 'Written and verbal communication', 'Decision-making', 'Teamwork, Team building and collaboration', 'Meticulous and diligent attributes', 'BS: Computer Science , Computer Engineering', '2-4 Years’ experience in Quality Assurance position in business applications development life cycle.', 'Experience in quality auditing, root cause analysis and test witnessing', 'Experience in a hardware and software development environment', 'Experience performing with ISO 9001 and CMMI Level 3 Quality Management Systems', 'Experience with software development and collaboration tools [such as Azure devops]', 'Familiar quality assurance and testing processes within an Agile environment.']","['Perform software process and product audits and compile audit findings and observations into a final report.', 'Document tailored processes across the value stream using ISO, CMMI, Agile and other internationally recognized process frameworks.', 'Support functional and configuration audit teams', 'Participate in formal and informal reviews to identify improvements or problems to various work products such as: requirements, design, architecture, code, and test procedures.', 'Witness the installation of the software on its target system(s) following software release.', 'Participate in the software change control process.', 'Assure software plans, procedures, processes, and standards have been established and implemented.', 'Ensure requirements and specifications are captured in a Requirements Traceability Matrix (RTM) or equivalent database.', 'Ensure software configuration management methods are maintained.', 'Lead all activities involving quality assurance, compliance, audits, deliverables, and process improvement.', 'Conduct project specific audits to measure the degree of adherence to documented policies and procedures.', 'Work on special process improvement projects to identify root cause and put in place corrective and preventive actions to prevent recurrence']",More Than 3 Years,"['Quality Assurance', 'Engineering', 'Data', 'quality']"
8,Document & Data Mgmt Specialist I,Fluor Corporation,"Riyadh, Saudi Arabia",Full Time,Not Specified,[],[],Not Specified,"['Administration', 'Microsoft Office', 'Documentation', 'Document Control', 'Admin', 'Information Technology (IT)', 'Computer Science', 'Engineering', 'Construction', 'English', 'Project Management', 'Computer Skills', 'Software Development', 'Microsoft Excel', 'Computer Engineering', 'Writing', 'Communication Skills', 'Logistics', 'MS Office', 'Supply Chain']"
9,Big Data Project Lead,Giza Systems,"New Cairo, Cairo",Full Time,Manager,"[""Bachelor's or Master's degree in Computer Science, Data Engineering, or a related field.\n- Experience in Big Data for at least 3 years.\n- Strong understanding of big data technologies, such as Hadoop, Spark, and Cloudera Stack.\n- Excellent communication and interpersonal skills, with the ability to effectively communicate with both business and technical teams.\n- Demonstrated experience in delivering business requirements.\n- Solid communication skills and planning.\n- Knowledge of data governance, data security, and data privacy best practices.\n- Familirty of cloud platforms (e.g., AWS, Azure, GCP) is a plus.""]",[],3 To 10 Years,"['AWS', 'Azure', 'Big Data', 'Computer Science', 'Cloud', 'Engineering', 'Information Technology (IT)', 'Hadoop', 'Spark']"
