,Job Title,company,Location,Employment Type,level,requirement,description,Experience Needed,skills
0,Front End Developer,Keys Group Services,"Cairo, Egypt",Full Time,Experienced (Non-Manager),[],[],6 To 10 Years,"['Information Technology (IT)', 'JavaScript', 'Angular', 'React', 'Software Development', 'CSS', '.Net']"
1,Front-End Developer,Ebla,"Nasr City, Cairo",Full Time,Experienced (Non-Manager),"['Expert knowledge of Javascript, HTML, CSS.', 'Experienced knowledge in AngularJS ', 'Experienced in integrating AngularJS + with API endpoints.', 'Familiar with webpack, babel, git']","['Collaborate with the rest of the team to design and launch new features.', 'Maintain code integrity and organization.', 'Understanding and implementation of business, security and data protection.', 'Highly experienced with Front-end programming frameworks.', 'Can continue working on other developers code.']",5 To 10 Years,"['Front-End', 'Information Technology (IT)', 'Computer Science', 'Engineering', 'Software Development', 'Software Engineering', 'javaScript', 'HTML', 'CSS', 'AngularJS', 'AngularJS +', 'API Endpoints', 'Angular 2', 'webpack', 'Babel', 'GIT', 'Telecom Engineering']"
2,Senior Front End Developer (React.js),InnovaDigits,"Cairo, Egypt",Full Time,Experienced (Non-Manager),"['4 to 7 years of work experience as a Front-end developer, with expertise in React-JS.', 'Strong proficiency in JavaScript, including DOM manipulation, the JavaScript object model, and newer specifications of ECMAScript.', 'Strong proficiency in TypeScript, ensuring every file in the code is fully typed.', 'In-depth understanding of the entire web development process (design, development, and deployment).', 'A knack for benchmarking and optimization.', 'Good understanding of CSS libraries, especially Tailwind CSS.', 'Experience with popular react-wide state management tools such as Context API, Redux, RTK, and RTKQ.', 'Familiarity with RESTful APIs and modern query systems like RTKQ.', 'Ability to perform well in a fast-paced environment.', 'Ability to understand business requirements and translate them into technical requirements.', 'Proficient understanding of code versioning tools, such as Git.', 'Familiarity with Scrum/Agile development methodologies.', 'Good experience in dealing with webpack, NPM packages, and scripts.', ""Bachelor's degree in Computer Science or a related technical field, or equivalent experience."", 'Modern JS Frameworks (React - Next) with TypeScript.', 'CSS/SASS and Tailwind CSS.', 'UI libraries such as Mantine UI.', 'Form validation libraries such as React Hook Form.', 'Redux - RTK - RTKQ.', 'Version control with Git and GitHub.', 'Docker.', 'Full-Time work - Remotely.', 'Medical Insurance.', 'Two Days Off Weekly.']","['Translate UI/UX design wireframes into front-end code that produces visual elements of the application.', 'Work with UI/UX designers to bridge the gap between graphical design and technical implementation.', 'Take ownership of projects and collaborate with other teams and partners.', 'Maintain and improve existing websites.', 'Ensure responsiveness and mobile-friendly design implementation.', 'Collaborate with back-end developers and web designers to improve usability.', 'Ensure high-quality graphic standards and brand consistency, following standard code styles.', 'Stay up-to-date on emerging technologies.', 'Build reusable code and libraries for future use, ensuring component scalability.', 'Ensure the technical feasibility of UI/UX designs and deliver pixel-perfect solutions.']",4 To 7 Years,"['Agile', 'Computer Science', 'Design', 'CSS', 'front-end', 'Information Technology (IT)', 'Git', 'JavaScript', 'Software Engineering', 'Web Development', 'ui', 'Software Development', 'React', 'Sass']"
3,Full Stack Developer (Junior/mid level) (.NET- angular/react),MiracleEgypt,"Hadayek Alahram, Giza",Full Time,Entry Level (Junior Level / Fresh Grad),"['Proven experience as a Full Stack Developer or similar role', 'Proven experience in .net core', 'Knowledge of multiple front-end languages and libraries (e.g. HTML/ CSS, JavaScript, angular , react)', 'Excellent communication and teamwork skills', 'Great attention to detail', 'Organizational skills', 'An analytical mind', 'ITI grads prefereable ']","['Work with development teams and product managers to ideate software solutions', 'Design client-side and server-side architecture', 'Build the front-end of applications through appealing visual design', 'Develop and manage well-functioning databases and applications', 'Write effective APIs', 'Test software to ensure responsiveness and efficiency', 'Troubleshoot, debug and upgrade software', 'Create security and data protection settings', 'Build features and applications with a mobile responsive design', 'Write technical documentation', 'Work with data scientists and analysts to improve software']",1 To 4 Years,"['Full Stack', 'Full Stack Developer', 'front-end', 'developer', 'Computer Science', 'Information Technology (IT)', 'Software Development', 'React', 'JavaScript', 'HTML', 'Angular', 'CSS']"
4,Backend Team leader - PHP,Confidential Company,"Nasr City, Cairo",Full Time,Experienced (Non-Manager),"['Experience in PHP (4+ Years) preferably PHP7+', 'Git', 'Experience in one of the following JS frameworks: Vue, React, Angular. (1+ Years)', 'Symfony', 'MongoDB', 'AWS (Amazon Web Services)', 'Elastic Search', 'RabbitMQ', 'Docker', 'Jenkins']","['We are looking for a Back-end Team lead who has advanced experience with one of the following frameworks (Symfony, Laravel)', 'Our ideal candidate should be ready to get challenged by working on some of the most complex problems.', 'Always Play station and sometimes Counter Strike, Ping-Pong, Chess, Risk, & Monopoly.', 'Unlimited paid vacations.', 'Friendly management team.', 'Great team spirit and working environment.', 'Annual Fun Trips', 'Strategy workshops where full team participating in deciding where the company should go.', 'A unique chance to learn how to build your startup company']",More Than 4 Years,"['PHP', 'Mongo DB', 'Mongo', 'Symfony2', 'Angular', 'Yii', 'Laravel', 'Symfony', 'Codeigniter', 'PHP5', 'Startup', 'Amazon Travel', 'AWS', 'Elastic Search', 'MVC', 'AngularJS', 'Software Development', 'Computer Science', 'Information Technology (IT)', 'Jenkins', 'Docker', 'Codeignitor', 'Backend', 'Frontend', 'Engineering', 'Software Engineering', 'Front-End', 'Back-End', 'Servers', 'Amazon Cloud', 'Cake PHP', 'PHP 5', 'GIT', 'Web Development', 'React', 'Web Services', 'Vue', 'JS', 'Frameworks', 'Telecom Engineering']"
5,Backend software developer,inbox,"Riyadh, Saudi Arabia",Full Time,Not Specified,[],"['Software development at all levels, including backends.', 'Using Scrum and Kanban methodology in developing and coordinating technical solutions.', 'Programming using the development language used by the Authority and providing programming consultations to it', 'Database queries as per business requirements', 'Develop and automate test cases to ensure software quality', 'Deploy applications to test and real environments', 'Design and support the business solution architecture for all IT products', 'Analyze, model, configure, tune, and maintain open source software', 'Analyzing the costs of developing systems with authority developers and the required resources.', 'Developing software in accordance with the Authority’s cybersecurity policies and procedures', 'Software development at all levels, including front-end interfaces.', 'Programming using the development language used by the Authority and providing programming consultations to it', 'Develop and automate test cases to ensure software quality', 'Deploy applications to test and real environments', 'Analyze, model, configure, tune, and maintain open source software', 'Developing software in accordance with the Authority’s cybersecurity policies and procedures']",Not Specified,"['Information Technology (IT)', 'Computer Science', 'Software Development', 'Software Engineering', 'javaScript', 'Engineering', 'PHP', 'MVC', 'Computer Engineering', 'SQL', 'C#', 'HTML', 'CSS', 'Web Development', 'Software', 'Back-End', 'MySQL', '.NET', 'jQuery', 'HTML5']"
6,"Full time Senior ASP Net Core, Blazor Full Stack Developer",Sinmar Soft,"New Nozha, Cairo",Full Time,Experienced (Non-Manager),"['Proven experience as a Full Stack Developer or similar role', 'Experience developing Web and mobile applications', 'Familiarity with common stacks', 'Knowledge of multiple front-end languages and libraries (e.g. HTML/ CSS, JavaScript, XML, jQuery)', 'Knowledge of multiple back-end languages (e.g. C#, Java, Python) and JavaScript frameworks (e.g. Angular, React, Node.js)', 'Familiarity with databases MSSQL', 'Excellent communication and teamwork skills', 'Great attention to detail', 'Organizational skills', 'An analytical mind', 'Degree in Computer Science, Statistics or relevant field']","['Work with development teams and product managers to ideate software solutions', 'Design client-side and server-side architecture', 'Build the front-end of applications through appealing visual design', 'Develop and manage well-functioning databases and applications', 'Write effective APIs', 'Test software to ensure responsiveness and efficiency', 'Troubleshoot, debug and upgrade software', 'Create security and data protection settings', 'Build features and applications with a mobile responsive design', 'Write technical documentation', 'Work with data scientists and analysts to improve software', 'Full time Job ']",3 To 10 Years,"['blazor', 'MVC', 'ASP.NET Core', 'c#.net', 'ASP.net MVC 5']"
7,.NET Full Stack Developer,Orcatechs,"Nasr City, Cairo",Full Time,Experienced (Non-Manager),"['Familiarity with the ASP.NET framework, .NET Core, SQL Server and design/architectural patterns (e.g. Model-View-Controller (MVC)).', 'Hands-on experience with Micro-service based architectures.', 'Hands-on experience with Authentication and OAuth, Web Tokens, and Identity Server.', 'Solid understanding and experience with Design Patterns, OOD, OOP, REST APIs, C#.NET, ASP.NET, .NET Core, Web API.', '4~6 years of development experience using .NET languages.', 'Solid understanding and experience with', 'Excellent knowledge of at least one of the .NET languages (e.g. C#, Visual Basic .NET) and HTML5/CSS3.', 'Excellent relational database skills with MySQL, SQL, Postgres, and strong knowledge in NoSQL.', 'Solid experience with modern Front-End Frameworks such Angular, ES5, ES6, Vue js and React js.', 'Good understanding of Agile methodologies.', 'Preferred to have experience in Banking or Fintech Sectors.', 'Strong attention to details.', 'Excellent troubleshooting and communication skills.', 'Very Good command of English both spoken and written.', 'Able to work remotely and collaborate well in a team setting.']",[],4 To 6 Years,"['.Net', 'Angular', 'ASP.Net', 'MVC', 'ASP.Net Web API', 'Software Development', '.Net Framework', '.Net Development']"
8,Full Stack Developer (.NET),Tamweely,"Shubra, Cairo",Full Time,Experienced (Non-Manager),"['Bachelor’s degree in computer science or a related. ', 'Strong .NET technologies including (C#, ASP.NET MVC, OOP, ASP.NET Core, Entity Framework, LINQ, Restful WebApi, Angular 10+, SQL Server, HTML5, JavaScript, CSS, AJAX , jQuery , Bootstrap , Typescript , JSON ). ', 'web development, design patterns and architectural patterns and practice. Such as memory management and low-level algorithm performance. ', 'Good experience working with n-tier architectures and onion architecture, along with some experience with service-oriented architectures (SOA). ', 'Familiarity with Crystal Reports, RDLC Report & SQL Server. ', 'Experience knowledge in working with TFS and Git.', 'Experience in Agile Development', 'Good communications skills ']","['Participating with other team members to design user-friendly interfaces; develop high-quality, object-oriented business objects; and conduct research of technologies and techniques.', 'Collaborating with other team members and assisting with code reviews.', 'Complete projects/tasks on a timely basis, according to commitments made to stakeholders and management.', 'Develop system test plans, ensuring achievement of software quality assurance (SQA) standards, and that validate achievement of business goals.', 'Develop the back end & front-end structure and design the required APIs.', 'Writing clean code', 'Write clear technical documentation.']",3 To 5 Years,"['Software Development', 'Computer Science', 'Information Technology (IT)', 'javaScript', 'CSS', 'Angular', 'SQL', 'jQuery', '.NET', 'Git', 'MVC', 'HTML5', 'TFS', 'Crystal Reports', 'RDLC Report', 'JSON', 'Angular 4', 'AJAX', 'Bootstrap', 'LINQ', 'C#', 'Web Development']"
9,PHP Developer,Zeidex,"Giza, Giza",Full Time,Experienced (Non-Manager),"['proven experience as a PHP Developer with a strong understanding of PHP web frameworks.', 'Experience with database technologies (MySQL).', 'Familiarity with version control systems (Git).', 'Strong problem-solving skills and attention to detail.', 'Excellent communication and collaboration skills', 'GoLang is a plus ']","['Develop, record, and maintain cutting-edge web-based PHP applications.', 'Collaborate with front-end developers to integrate user-facing elements using server-side logic.', 'Troubleshoot, debug, and optimize code for performance and security.', 'Prepare and maintain all applications utilizing standard development tools.', 'Utilize backend data services and contribute to increasing existing data services API.', 'Lead the entire web application development life cycle right from the concept stage to delivery and post-launch support.', 'Convey effectively with all task progress, evaluations, suggestions, and schedules along with technical and process issues.', 'Collaborate with other team members and stakeholders to deliver high-quality solutions.']",2 To 4 Years,"['Laravel', 'PHP', 'Golang', 'Computer Science', 'PHP developer', 'SOLID OOP Principles']"
