,Job Title,company,Location,Employment Type,level,requirement,description,Experience Needed,skills
0,Senior Full Stack Developer,Confidential Company,"Cairo, Egypt",Full Time,Experienced (Non-Manager),"['Proven experience as a Full Stack Developer ', 'Experience developing desktop and mobile applications', 'Familiarity with common stacks', 'Knowledge of multiple front-end languages and libraries (e.g. HTML/ CSS, JavaScript, XML, jQuery)', 'Knowledge of multiple back-end languages (e.g. C#, Java, Python) and JavaScript frameworks (e.g. Angular, React, Node.js)', 'Familiarity with databases (e.g. MySQL, MongoDB), web servers (e.g. Apache) and UI/UX design', 'Degree in Computer Science, Statistics or relevant field']","['Work with development teams and product managers to ideate software solutions', 'Design client-side and server-side architecture', 'Build the front-end of applications through appealing visual design', 'Develop and manage well-functioning databases and applications', 'Write effective APIs', 'Test software to ensure responsiveness and efficiency', 'Troubleshoot, debug and upgrade software', 'Create security and data protection settings', 'Build features and applications with a mobile responsive design', 'Write technical documentation', 'Work with data scientists and analysts to improve software']",5 To 7 Years,"['Full Stack', 'Computer Science']"
1,Full-Stack Developer Focus on Security,Finding From Egy,"Smouha, Alexandria",Full Time,Experienced (Non-Manager),"[""Bachelor's degree in Computer Science or a related field."", '3+ years of experience as a full-stack developer with a strong focus on security.', 'Full experience in Linux server administration (e.g., Apache, Nginx, SSH, shell scripting), including security configuration and maintenance.', 'Proven experience in implementing and maintaining web security measures, including authentication, authorization, and encryption.', 'Strong understanding of web development technologies, including HTML, CSS, JavaScript, React, Node.js, Express.js, and security frameworks.', 'Experience with relational databases (e.g., MySQL, PostgreSQL) and securing them.', 'Excellent communication and collaboration skills.', 'Ability to work independently and as part of a team.', 'Passion for learning and staying up-to-date with new technologies, particularly in the field of security']","['Design, develop, and maintain web applications using modern technologies and best practices, emphasizing security considerations.', 'Build clean, maintainable, and scalable code, employing secure coding practices.', 'Deploy and manage applications on Linux servers, securing them according to industry best practices.', 'Implement and maintain Linux server security measures, including firewalls, intrusion detection systems, and vulnerability management.', 'Integrate security best practices into the development process, including threat modeling, secure coding practices, and vulnerability scanning.', 'Write secure and efficient code, proactively identifying and mitigating potential security vulnerabilities.', 'Collaborate with designers and product managers to understand user needs and translate them into functional and secure applications.', 'Participate in code reviews and knowledge sharing activities, promoting a culture of security within the team.', 'Stay up-to-date with the latest trends and technologies in web development and web security.']",3 To 6 Years,"['Linux', 'Mysql Database', 'PHP Web Development', 'Linux Operating System', 'Information Security', 'Bootstrap']"
2,Senior Full Stack Developer 23005,Ditech Egypt,"Cairo, Egypt",Full Time,Experienced (Non-Manager),"['Minimum 7 years of experience in both front end and backend technologies', 'Experience in architecting modern, scalable and high performing full stack web applications', 'Database management experience with MySQL, PostgreSQL, Oracle and Elastic Search', 'JavaScript, TypeScript and SCSS', 'Foundation, Bootstrap and other CSS (Bootstrap and other frameworks)', 'JavaScript frameworks like ReactJS, VueJS\n ', '.NET , C#', 'MySQL, PostgreSQL, Oracle, and MongoDB.', 'Apache, Nginx, ISS, Springboot, FastAPI, etc.', 'API design and development', 'Elasticsearch, Redis', 'Big data technologies', 'Ability to work under high pressure and complete project under tight deadlines', 'Comfortable multi-tasking and working as part of a global team, as well as working independently and taking ownership', 'Adaptive to ambiguity and willing to change in a fast-paced environment', 'Strong organizational and project management skills', 'Team management and coordination', 'Stellar visual skills and attention to detail', 'Understanding of CI/ CD, Docker, Kubernetes and an appreciation for DevOps techniques', 'Excellent verbal communication skills', 'Good problem-solving skills']","['Developing front end website architecture', 'Designing user interactions on web pages', 'Developing back end website applications', 'Creating servers and databases for functionality', 'Working alongside graphic designers for web design feature', 'Seeing through a project from conception to finished product', 'Designing and developing the dashboard', 'Dynamic presentation of high-volume data using charts', 'Strong understanding of UI/ UX, and assuring a better UI/UX;', 'Designing and developing APIs', 'Review and estimate requirements while working with your team to plan agile sprints related to application and process development roadmaps', 'Commit and organize source code in GitHub enterprise', 'Meeting both technical and consumer needs', 'Staying abreast of developments in web applications and programming languages', 'Test applications, software, and websites']",More Than 7 Years,"['C#', 'ASP.NET', 'SQL', '.NET', 'MVC', 'Angular', 'Computer Science', 'Information Technology (IT)', 'Microsoft SQL Server', 'CSS', 'HTML', 'jQuery', 'ADO.NET', 'Software Development', 'Full Stack', 'Bootstrap', 'Front end', 'front-end', 'JavaScript', 'MongoDB', 'MySQL']"
3,ASP NET Core Full Stack Developer,Confidential Company,"Cairo, Egypt",Freelance / Project,Experienced (Non-Manager),"['Proven experience as a Full Stack Developer or similar role', 'Experience developing Web applications', 'Familiarity with common stacks', 'Knowledge of multiple front-end languages and libraries (e.g. HTML/ CSS, JavaScript, XML, jQuery)', 'Knowledge of multiple back-end languages (e.g. C#, .NET Core 6)', 'Familiarity with databases (e.g. SQL Server), and ability to create Stored procedures.', 'Excellent communication and teamwork skills.', 'Great attention to detail and hard worker.', 'Organizational skills.', 'An analytical mind.', 'Degree in Computer Science, Statistics or relevant field.']","['Work with development teams and product managers to ideate software solutions', 'Design client-side and server-side architecture', 'Build the front-end of applications through appealing visual design', 'Develop and manage well-functioning databases and applications', 'Write effective APIs', 'Test software to ensure responsiveness and efficiency', 'Troubleshoot, debug and upgrade software', 'Create security and data protection settings', 'Build features and applications with a mobile responsive design', 'Write technical documentation', 'Work with data scientists and analysts to improve software']",2 To 5 Years,"['Full Stack', 'JavaScript', 'jQuery', 'SQL Server', 'ASP.NET Core', 'HTML', 'CSS', 'AJAX', 'SignalR']"
4,Senior Full Stack Developer .Net + Angular,ICIS,"New Cairo, Cairo",Full Time,Experienced (Non-Manager),"['We are looking for a Mid-Level and Senior .NET Developer with experience in Angular 5+ and strong skills MVC in Cairo on a full-time working base, with traveling opportunities to our Saudi branch.', 'Bachelor of Computer Science Degree required', 'Experience in testing tools and frameworks like Jasmine, Protractor, or similar.', '3+ years’ experience with C#, ASP.NET MVC 5, ADO.NET, & Entity Framework.', 'Excellent understanding of OOP, n-tier architecture, and design patterns.', 'Good Knowledge in HTML5, CSS3, JavaScript, JQuery, AJAX, Type Script, JQuery.', 'Good Knowledge in Angular 5+ / Angularjs.', 'Experience with web service development including SOAP or RESTful web services', 'Good Knowledge in.Net 3.5, 4.0 and 4.5 is plus.', 'Good Knowledge of WCF / Web API is a plus.', 'Very Good knowledge in ORM and LINQ.', 'Knowledge of at least one of (Crystal reports, Open XML, and reporting services).', 'Knowledge in queues, multi-threading, parallelization, and distributed caching servers is a plus.', 'Experience in web-based systems architecture, service-based architecture.', 'Knowledge of VSTS / GIT or any other Version Control System.', 'Additional frameworks such as Vue or React or even Node.js are plus.', 'Fair knowledge of Oracle DB, ability to write Stored Procedures & read entity diagrams.', 'Ability to complete all phases of the software development life cycle including analysis, design, implementation, testing, and support', 'Excellent analytical, problem-solving/diagnostic skills.', 'Good work ethics, Team player, positive and self-motivated.', 'Strong Communication & Interpersonal skills.', 'Flexibility to travel when needed (mainly Saudi Arabia and could be other destinations if required, with travel allowance per-diem).']","['Translate the functional and technical requirements and specifications into application components.', 'Participate in the analysis & design of new functional requirements and systems.', 'Build application components using .NET Framework 4.5+, ASP.NET MVC 5+, Oracle DB, WCF Web Services/WCF Data Services, WWF, Angular 5+, JSON, XML, RESTful Services and MS SQL RDBMS', 'Develop the backend of the solution, including the service layer, business logic layer, and data access layer.', 'Develop the integration parts of the system in order to communicate with the internal and external systems using WCF.', 'Develop and write high-quality coding standards.', 'Assist and support other team members on multiple projects']",More Than 5 Years,"['Engineering', 'Computer Science', 'Information Technology (IT)', 'Oracle', 'SQL', 'Asp.Net', 'MVC', 'HTML5', 'CSS', 'AJAX', 'jQuery', 'javaScript', 'XML', 'AngularJS', 'ASP.NET', 'Web Development', 'Web Design', '.NET', 'Angularjs', 'Angular 6', 'HTML', 'JavaScript', 'CSS3', 'Wireframes', 'Visual Design', 'GIT', 'VSTS', 'C#']"
5,Full Stack Team Lead .Net & Angular,ICIS,"New Cairo, Cairo",Full Time,Experienced (Non-Manager),"['Bachelor of Computer Science Degree required', 'At least 6+ years of experience.', 'Proven experience implementing tasks using C#, ASP.NET Core, & Entity Framework core)', 'Excellent understanding of OOP, n-tier architecture and design patterns.', 'Excellent Knowledge in (HTML5, CSS3, Json ,JavaScript, JQuery, AJAX) ,(Bootstrap, Angular 2+).', 'Good Knowledge in .Net 3.5, 4.0 and 4.5 is plus.', 'Fair Knowledge in WCF a plus.', 'Fair knowledge of ASP.Net MVC3 and MVC4 is plus.', 'Very Good knowledge in ORM and LINQ.', 'Experience with MS SQL or Oracle DB, ability to write Stored Procedures & read entity diagrams.', 'Knowledge of at least one of (Open XML, and reporting services).', 'Knowledge in cloud is a plus.', 'Knowledge in queues, multi-threading, parallelization, and distributed caching servers is a plus.', 'Very good analytical and creative problem-solving skills.', 'Good work ethics, Team player, positive and self-motivated.', 'Strong Communication & Interpersonal skills.', 'Excellent command of English language is a plus.', 'Flexibility to travel when needed (mainly to KSA).']","['Software Development Implementation Perform programming tasks according to the project plan and functional specifications.', 'Integrating team output into the project solution and packages.', 'Responsible for project configuration management and releases deployment.', 'Gathering and preparing release notes.', 'Coaching and guiding technical team for best practices, standards, & appropriate design patterns.', 'Perform code reviews for development team.', 'Ultimately responsible for project code quality.', 'Guiding the team on adopting and using Agile approaching and practices.', 'Breaking down backlog features into smaller tasks to be easier & more effective for team members.', 'Divide tasks among team members with agreement with the PM based on priorities & deliverables.', 'Updating the PM with project & team status and performance.', 'Raising any project or task risks or impact of any impediments to the PM.', 'Conducting technical research to gain technical knowledge and resolve technical difficulties.', 'Provides the development effort estimation of new features & components with the development team for the project he is leading.', 'Participate in estimating potential new projects modules & features and provide it to the PM.', 'Highlight to the PM development potential risks and tasks dependencies.', 'Participate in the analysis of new functional requirement and systems.', 'Building solution architecture in collaboration with the team.', 'Confirming solution architecture with PM before implementation kickoff.', 'Providing the team the design of project systems and component.']",6 To 10 Years,"['Engineering', 'Computer Science', 'Information Technology (IT)', 'Oracle', 'SQL', 'Asp.Net', 'MVC', 'HTML5', 'CSS', 'AJAX', 'jQuery', 'javaScript', 'XML', 'AngularJS', 'ASP.NET', 'Web Development', 'Web Design', '.NET', 'Angularjs', 'Angular 6', 'HTML', 'JavaScript', 'CSS3', 'Wireframes', 'Visual Design', 'GIT', 'VSTS', 'C#']"
6,Full Stack Web developer,El,Malaz for Information Technology,Full Time,Experienced (Non-Manager),[],[],2 To 4 Years,"['.Net', 'Angular', 'Bootstrap', 'Computer Science', 'CSS3', 'Design', 'HTML5', 'Information Technology (IT)', 'JavaScript', 'Programming', 'Software Development', 'Typescript']"
7,Senior Full Stack Developer,DBS,"New Cairo, Cairo",Full Time,Experienced (Non-Manager),"['Bachelor’s degree in computer science or information technology.', 'Minimum 5 years of experience', 'Strong knowledge of clean architecture', 'Strong knowledge of Domain Driven Design', 'Strong knowledge of Solid Principles', 'Ability to build web applications and web APIs using ASP.Net core is a must', 'Strong knowledge of Entity Framework', 'Proficient with front-end development languages including Angular, JavaScript, HTML5, and CSS.', 'Excellent problem-solving skills.', 'Good verbal and written communication skills.']","['Meeting with technology managers to determine application and website requirements.', 'Upgrading existing .NET websites and applications.', 'Analyzing system requirements and delegating development tasks.', 'Developing technical specifications.', 'Writing scalable code for .NET software applications.', 'Reviewing and debugging .NET applications.', 'Providing support for junior developers.', 'Deploying functional websites, programs, and applications.', 'Training junior staff.', 'PLEASE NOTE THAT: we need this position in both Cairo and Alexandria.']",More Than 3 Years,"['Information Technology (IT)', 'Development', 'Software Development', 'Computer Science', 'front-end', 'HTML5', 'JavaScript', 'ASP.Net', 'CSS', 'Angular', 'APIs', '.Net']"
8,Senior Full Stack Developer (.Net Core - MVC),Dynamicslink,"Nasr City, Cairo",Full Time,Experienced (Non-Manager),"['Minimum 5-7 years experience in web development with at least 4 years experience in using ASP.net Core.', 'Strong knowledge of C#, JavaScript, SQL.', 'DevExpress controls is a plus.', 'Strong knowledge of HTML CSS, jQuery technologies, and web frameworks are a plus.', 'Experience with database creation and maintenance.', 'Strong knowledge of Object-Oriented Programming and Design Patterns.', 'Customer Oriented.', 'Attention to Detail and Deadline-Oriented individual.', 'Leading a team with at least 3 members for 3 years is a must.', 'Work Location: Nasr City, Cairo.', 'Working Hours: Two Days Off ""Friday & Saturday""', 'Flexible hours from 9 AM to 6 PM or 10 AM to 7 PM', 'Employment type: Full time', 'Starting Date: Immediately']","['Work with development teams and product managers to ideate software solutions.', 'Work with data scientists and analysts to improve the software.', 'Participating in the entire software development life cycle, debugging applications, and configuring existing systems.', 'Analyze system requirements and prioritize tasks.', 'Writing clean, testable code using .NET programming languages (C#, .NET Core, JS).', 'Test and debug various .NET applications.', 'Review and refactor code.', 'Document development and operational procedures.']",5 To 7 Years,"['.Net', 'ASP.Net', 'Computer Science', 'CSS', 'Information Technology (IT)', 'JavaScript', 'jQuery', 'Software Development', 'Programming', 'SQL', 'Web Development', 'HTML']"
9,Full Stack Developer - PHP,Azm development,"Cairo, Egypt",Full Time,Experienced (Non-Manager),"['Junior full stack engineers php / laravel stack', '1-3 years experience.', 'Fully remote , Full time only, open to hire from any location in Egypt based on experience and technical capacity', 'BSC in computer science is a must']","['Work with development teams and product managers to ideate software solutions', 'Design client-side and server-side architecture', 'Build the front-end of applications through appealing visual design', 'Develop and manage well-functioning databases and applications', 'Write effective APIs', 'Test software to ensure responsiveness and efficiency', 'Troubleshoot, debug and upgrade software', 'Create security and data protection settings', 'Build features and applications with a mobile responsive design', 'Write technical documentation', 'Work with data scientists and analysts to improve software', 'junior full stack engineers php / laravel stack', '1-3 years experience.', 'BSC in computer science / it or similar is a must.']",1 To 4 Years,"['Laravel', 'PHP', 'JavaScript', 'Full Stack', 'Computer Science']"
