,Job Title,company,Location,Employment Type,level,requirement,description,Experience Needed,skills
0,Senior Backend Developer with Machine Learning,Simply nikah,"Cairo, Egypt",Full Time,Experienced (Non-Manager),"['Strong proficiency in NestJS and its ecosystem.', 'Good understanding and experience with Google Firebase', 'Experience with Flutter and understanding of how it integrates with backend services.', 'In-depth knowledge of AWS services and cloud architecture principles.', 'Experience in building and deploying machine learning models, especially with Google Vertex AI.', 'Expertise in database management (NoSQL) specifically MongoDB.', 'Proficient in developing and managing APIs (RESTful or GraphQL).', 'Familiarity with security practices in backend development.', 'Proven experience in implementing CI/CD and version control (Git).', 'Excellent problem-solving and analytical skills.', 'Strong communication and teamwork abilities.', 'Eagerness to learn and adapt to new technologies and frameworks.', 'Excellent communication and collaboration skills to work effectively within a team', 'Strong problem-solving abilities and a proactive approach to troubleshooting', 'Ability to manage time and prioritize tasks effectively to meet project deadlines', 'Openness to receiving and providing constructive feedback, and adapting to changes in project requirements', 'Experience with JIRA']","['Job type: Full-time', 'Job set-up: Fully Remote', 'Location: Egypt', 'Compensation: Dependant on experience']",More Than 3 Years,"['backend', 'nestjs', 'Machine Learning', 'ai', 'google vertex']"
1,AI And Machine Learning Engineer,Pro Dev Tech,"Cairo, Egypt",Full Time,Experienced (Non-Manager),[],[],More Than 4 Years,"['AI', 'Artificial Intelligence', 'Information Technology (IT)', 'Machine Learning', 'Computer Science', 'Software Engineering', 'Programming']"
2,Data Scientist | ML Engineer,Giza Systems,"New Cairo, Cairo",Full Time,Experienced (Non-Manager),[],[],5 To 12 Years,"['Computer Science', 'Data Science', 'data scientist', 'Information Technology (IT)', 'ML', 'Python', 'Data', 'Spark', 'SQL', 'Statistics', 'Machine Learning', 'Data Mining', 'Data Analysis', 'Analysis']"
3,Mid-level AI Engineer,Noases,"Nasr City, Cairo",Full Time,Experienced (Non-Manager),"['A BSc in Computer Science, Computer Engineering, or related fields doing research in the fields of speech and NLP, especially related to machine learning and/or deep learning, is a plus.', 'Practical experience with machine learning and deep learning packages, for example, Scikit-learn, TensorFlow, CNTK, etc.', 'Good presentation and writing skills.', 'Experience in natural language processing, speech, and machine learning.', 'Excellent programming skills with Python and C/C++. CUDA is a plus.']","['collecting and cleaning data from various entities.', 'Selecting and employing advanced statistical procedures to obtain actionable insights.', 'Have a detailed understanding of AI concepts, tools, and algorithms.', 'Keep up-to-date with state-of-the-art research publications. (AI-NLP) ', 'lead project team members to understand AI specificities, benefits, and limitations.', 'Manage code, algorithms, and datasets so that they are easily tracked and repeatable.', 'Interface with AI Embedded Engineer to ensure optimal AI model integration through relevant tests and validation']",1 To 5 Years,"['Software Engineering', 'Information Technology (IT)', 'Computer Science', 'Computer Engineering', 'Programming', 'Python', 'NLP', 'Machine Learning']"
4,Data Scientist,FlapKap,"Maadi, Cairo",Full Time,Experienced (Non-Manager),"['Advanced degree in a quantitative field such as Statistics, Mathematics, or Computer Science', 'Experience working with different datasets and performing statistical analysis', 'Proficiency in Python for data manipulation and modeling', 'Strong knowledge of applying machine learning algorithms and techniques', 'Ability to work in a fast-paced, collaborative environment', 'Competitive Salaries', 'Hybrid working environment', 'Paid time off', 'Healthcare coverage', 'A highly collaborative team environment that will support your professional and personal growth', 'A culture of learning and innovation', 'Office located at Maadi, Cairo']","['Use statistical analysis and machine learning techniques to analyze large datasets and extract insights', 'Design and develop predictive models to forecast key business metrics', 'Collaborate with cross-functional teams to understand business requirements and develop data-driven solutions', 'Communicate findings and recommendations to stakeholders in a clear and concise manner as well as providing user friendly dashboards', 'Stay up-to-date with the latest techniques and tools in data science and applied analytics']",More Than 4 Years,"['Data Science', 'Data', 'Machine Learning', 'Mathematics', 'Quantitative', 'Statistics', 'Python', 'Algorithms']"
5,AI & Analytics Senior Consultant,Robiquity,"New Cairo, Cairo",Full Time,Experienced (Non-Manager),"['Good understanding of the IBM Cognos suite, including Cognos Analytics, Cognos Report Studio, Cognos Framework Manager, and Cognos Query Studio.', 'Proficiency in designing and developing reports, dashboards, and data visualizations.', 'Knowledge of data modelling, data integration, and data warehousing concepts.', 'Strong understanding of IBM Watson technologies, including Watson Assistant, Watson Discovery, Watson Knowledge Studio, and Watson Natural Language Understanding.', 'Experience in developing and deploying AI-powered solutions using IBM Watson.', 'Familiarity with natural language processing (NLP), machine learning, and cognitive computing concepts.', 'Ability to leverage IBM Watson APIs and SDKs to integrate Watson capabilities into applications.', 'Knowledge of the technical architecture and infrastructure requirements for deploying IBM Cognos and IBM Watson solutions.', 'Understanding of data integration methods and tools to integrate IBM Cognos and IBM Watson with other systems and data sources.']","['Analyse business problems and translate requirements into detailed functional design specifications in alignment within scope technology boundaries.', 'Facilitate/lead design reviews (walkthroughs) of functional design with other members of the technical team, communicating design, requirements, feature set, and functionality.', 'Develop, implement, and maintain change control and testing processes for modifications.', 'Participate in the upgrade of software/releases, including the customization of functionality and the performance of technical tests to ensure minimal impact on the business.', 'Manage communication with IBM / Cognos on debugging efforts and trouble tickets.', 'Documentation of environment / production change controls logs']",4 To 6 Years,"['IBM Cognos', 'IBM Watson', 'Cognos', 'Watson', 'NLP', 'Machine Learning']"
6,Senior Data Scientist - Hybrid,Seoudi Supermarket,"Sheikh Zayed, Giza",Full Time,Experienced (Non-Manager),"[""Bachelor's or master's degree in computer science, Statistics, Mathematics, or a related field."", 'Strong programming skills in Python and R. Proficiency in SQL is required.', 'Minimum of 3 years of experience in data science or a related field.', 'Solid understanding of statistical analysis, machine learning, and data mining techniques.', 'Experience with data cleaning, preprocessing, and exploratory data analysis.', 'Proficiency in utilizing data science libraries and frameworks (e.g., Pandas, NumPy, scikit-learn, TensorFlow, Py Torch).', 'Experience building forecasting models using machine learning and deep learning techniques.', 'Ability to perform advanced statistical analysis, including statistical testing and measuring statistical feature associations.', 'Proficiency in business intelligence tools such as Tableau or Power BI, with the ability to build custom live/near live dashboards with complex functionality.', 'Ability to write optimized SQL queries for data analysis and data retrieval.']",[],3 To 5 Years,"['Data Analysis', 'Data Science', 'Analysis', 'Computer Science', 'Machine Learning', 'Python', 'SQL', 'Deep Learning', 'PyTorch']"
7,Operational Trainer,Xceed Contact Center,"Cairo, Egypt",Full Time,Experienced (Non-Manager),"['Attendance and Punctuality', 'Reliability and Dedication.', 'Process Orientation.', 'Influencing Others.', 'High Stress Tolerance.', 'Decisiveness/Decision Making.', 'Goal Attainment', 'Coaching and Guidance.', 'Adaptability and Flexibility.', 'Prioritizing and organizing.', 'Result Orientation.']","['Performs Training needs analysis and executes effective training programs based on the analysis.', 'Monitors training rooms, system and calendar to ensure training is distributed evenly throughout each month and looks for and resolves schedule conflicts.', 'Coordinates with all internal functions within various departments to ensure completion of training processes. ', 'Works with various departments to gain agreement as to standard procedures for documentation and coordinates related instructional document preparation.', 'Organize and/or conduct training for all new hires in operations.', 'Organize and/or conduct training for all new members in the training team.', 'Oversee all on-the-job training and conduct examinations to ensure Trainees are being properly trained and certified.', 'Ensure all issues relating to the training process are addressed and conduct root cause analysis of met issues and provide recommendations if needed.', 'Plan, schedule, and administer training workshops.', 'Actively attends kick off meetings, regular conference calls and actively manage all tasks connected with new projects.', 'Provides feedback and required reports on necessary activities connected with assigned projects.', 'Assist with onboarding of new team members and in conducting training/knowledge assessments.', 'Assists with application and reimbursement of training grants.']",1 To 3 Years,"['TNA', 'Training of Trainers', 'Training Needs Analysis', 'Soft Skills', 'Machine Learning']"
8,Junior Computer Vision Engineer,Noases,"Cairo, Egypt",Full Time,Entry Level (Junior Level / Fresh Grad),"[' Bachelor of Science degree or higher in Computer Science, Engineering, Applied Mathematics, or a related technical field ', ' (0 – 2) years of experience in developing image analytics algorithms and applications using C, C++, or other programming languages ', 'Knowledge of OpenCV and other open-source image processing, computer vision, or data mining libraries ', 'Knowledge of pattern classification, image-based object detection, and object matching ', 'Primary experience in building machine learning models and datasets ', 'Ability to define system or software requirements and perform requirement analysis ', 'Ability to create system or software architecture, design, and specifications ', 'Ability to perform system or software design reviews, technical assessments, and trade-off study ', 'Ability to create system/software development and integration plans, test plans, and test cases ', ""Ability to create and implement advanced algorithms to solve real customer's problems "", 'Ability to design and develop software applications ', 'Ability to perform system and software integration, installation, configuration, and testing ', 'Ability to create technical documentation such as user stories, requirements, design specifications, architectural diagrams, and user manuals ', 'Ability to adhere to schedules and work well in a highly collaborative environment on product development projects in a cross-functional, matrix environment and manage the technical team as an assistant ', 'Strong Arabic and English language knowledge, both spoken and written.']","['Understand the problem and requirements and create applications, algorithms, test frameworks, and environment ', 'Design data, image, and video analytics algorithms and evaluate performance on a large dataset ', 'Design, train, and optimize Deep Neural Networks to implement on embedded DSP platforms ', 'Implement and integrate algorithms into the overall solution ', 'Identify, validate, and document business needs and requirements ', 'Gather, research, and analyze system and operation processes and data to understand and formulate problems and opportunities ', 'Identify and evaluate solution concepts; formulate core problems into tractable mathematical problems ', 'Identify, validate, and document solution requirements ', 'Develop, analyze, and document solution architecture; identify and document interface, application, and hardware requirements ', 'Research and evaluate image, video, and data analysis algorithms and packages based on image processing or machine learning. ', 'Create software development and integration plans, test plans, test cases, and acceptance criteria ', 'Design and develop software applications and algorithms ', 'Design and develop data-gathering applications and test applications ', 'Perform testing; gather, analyze, and document test results ', 'Create and review documentation for application release; provide technical training to end users and technical support staff as required ', ' Research, validate, troubleshoot, and resolve system or software issues and provide technical support regarding system or software capabilities, issues, and technical questions ', 'Identify, define, gather, and analyze solution operational performance metrics and determine necessary corrective actions and/or improvements.']",0 To 2 Years,"['Engineering', 'Computer Science', 'Information Technology (IT)', 'Software Development', 'Programming', 'Design', 'Software Engineering', 'Machine Learning']"
9,Data Engineer,Cilantro,"Maadi, Cairo",Full Time,Entry Level (Junior Level / Fresh Grad),"['Core understanding of OOP, and preferred proficiency in Python ', 'Fair knowledge of SQL ', 'Basic understanding of database systems  ', 'Fair knowledge of cloud providers, preferably GCP  ', 'Basic understanding of cloud data warehouses, preferably Big Query ', 'Experience using Pandas ', 'Experience with data workflow orchestration (Airflow) ', 'Nice to have: Machine learning and predictive analytics algorithms, experience using SQLAlchemy and Flask', 'Tech-savviness, continuous self-improvement, good self-learner, proactive, ambitious and result-oriented', 'An interest to learn more about: ']","['ETL maintenance for data freshness and warehouse uptime ', 'Integrate new data sources to ETL ', 'Build monitoring dashboards for data delivery and quality ', 'Data platform infrastructure maintenance and expansion when necessary ', 'Support in analytical dashboards creation and interfaces for stakeholders ', 'Adapting and evolving the data platform based on business requirements', 'Aid in maintenance of OPPE Flask web application ', 'Aid in maintenance and development of other analytics tools']",1 To 3 Years,"['Computer Engineering', 'BI', 'Computer Science', 'Engineering', 'Information Technology (IT)', 'Python', 'SQL', 'OOP', 'Algorithms']"
