,Job Title,company,Location,Employment Type,level,requirement,description,Experience Needed,skills
0,Software Tester - Mobile Applications,Confidential Company,"Cairo, Egypt",Full Time,Experienced (Non-Manager),[],"['Conduct comprehensive testing of mobile applications on different devices and operating systems.', 'Design test plans, scenarios, scripts, or procedures.', 'Identify, document, and track bugs to ensure a seamless user experience.', 'Collaborate with developers to troubleshoot and resolve issues promptly.', 'Write and execute test cases and scenarios to validate app functionality and performance.', 'Stay updated on industry best practices and emerging mobile technologies• ']",3 To 5 Years,"['Computer Science', 'Software Tester']"
1,C# Developer - AccreHealth Technologies,Qureos,"Dubai, United Arab Emirates",Full Time,Not Specified,[],[],Not Specified,"['Information Technology (IT)', 'Computer Science', 'Software Development', 'Objective-C', 'iOS', 'Software Engineering', 'Swift', 'B2C', 'Engineering', 'Sales', 'Mobile Development', 'Computer Engineering', 'Java', 'Sales Skills', 'B2B', 'C/C++', 'Core Data', 'Customer Service', 'Sales Target', 'JSON']"
2,Flutter team lead,Kian Alraqmih,"Mansoura, Dakahlia",Full Time,Manager,"['6+ years of experience in Mobile Development.', '2+ years of experience as a Mobile Development Team Leader.', 'Bachelor Degree in Computer Science or Software Engineering.', 'You have experience working on a number of mobile apps, preferably apps with scale.', 'Portfolio, GitHub (or another open-source account), list of published works is a plus', 'Excellent analytical and problem-solving skills.', 'Strong leadership and people management skills.', 'Helping people get better at their jobs makes you happy', 'High level of working English is required']","['Work with our technical leaders to set out a vision for our mobile engineering.', 'Design and build advanced applications for the Android/iOS platform.', 'Work with cross-functional teams to define, design, and ship new features.', 'Responsible for supervising, managing and motivating the mobile development team.', 'Coach, guide and mentor mobile developers to grow into their work.', 'Work with outside data sources and APIs.', 'Work on bug fixing and improving application performance', 'Continuously discover, evaluate, and implement new technologies to maximize development efficiency.', 'Work with project managers on estimating the feasibility and complexity of new products/features.', 'Participate in the planning process for software development projects, and ensure meeting quality and deadlines on delivery.', 'Design the architecture of new products/features.', 'Provide best practices and make sure they are respected.', 'Implement the quality assurance processes.', ""Ensure delivering the required software quality and reliability of the entire team's output.""]",5 To 7 Years,"['Development', 'Information Technology (IT)', 'Management', 'Mobile', 'Mobile Development', 'Software Development', 'Software Engineering', 'Software', 'Computer Science', 'Leadership', 'English', 'Engineering']"
3,Senior Flutter Developer,Sulfah,"Maadi, Cairo",Full Time,Experienced (Non-Manager),"['At least 3 years of experience as a flutter developer.', 'Experience with third-party libraries and APIs.', 'Experience with offline storage, threading, and performance tuning.', 'BS/MS degree in Computer Science, Engineering, or a related subject.', 'Familiarity with code versioning tools.', 'Solid understanding of mobile application design patterns.', 'Have experience with Flutter.', 'Have experience with iOS or Android.', 'Proficient understanding of code versioning tools, such as Git.', 'Has been involved in at least 3 Flutter App projects.', 'Ability to understand business requirements and translate them into technical requirements.', 'Experience connecting/calling RESTful services.', 'You can join immediately.']","['Create well-designed, testable, efficient code', 'Participate in all phases of the development life-cycle', 'Assist in the preparation and production of releases of software components', 'Ensure designs are in compliance with specifications', 'Independently craft project solutions by applying solid Object-Oriented-Design principles.', 'Ensure the performance, quality, and responsiveness of applications.', 'Develop customer-specific solutions and extend our own track & trace software products', 'Follow established development best practices, unit test conventions, and teams coding style', 'Follow the best practices while developing the app and also keep everything structured and well documented.', 'Use CI/CD for smooth deployment.', 'Document the project and code efficiently.', 'Manage the code and project on Git in order to keep in sync with other team members and managers.', 'Communicate with the Project Manager regarding the status of projects and suggest appropriate deadlines for new functionalities.', 'Ensure security guidelines are always followed while developing the app.', 'Validate the cloud system to ensure any new changes do not compromise the security of the back-end server.', 'Connect regularly with the Quality Assurance Specialist to deliver a stable app.', 'Resolve all the bugs reported by the Quality Assurance Specialist in a timely manner.', 'Perform time profiling and memory leaks assessment.', 'Execute app verification protocol.', 'Write tests for the App.', 'Following company policies and quality procedures to ensure quality product deliverable.']",3 To 5 Years,"['Computer Science', 'flutter', 'Information Technology (IT)', 'Software Engineering']"
4,Sales Representative,El Marketers,"New Cairo, Cairo",Full Time,Experienced (Non-Manager),"['Preferred IT, Mobile or mobile Accessories background', 'Excellent presentation and public speaking skills\n ']",[],More Than 2 Years,"['IT', 'sales skills', 'Sales', 'mobile accessories', 'Customer Service']"
5,Backend Developer,Smart GYM,"Nasr City, Cairo",Full Time,Experienced (Non-Manager),"[""Bachelor's degree in Computer Science or equivalent work experience."", 'Excellent software development knowledge of:\n• PHP Cakephp\n• HTML, CSS, JavaScript\n• JSON, XML,\n• APIs ']","['Maintaining existing codebase, to include troubleshooting bugs and adding new features.', 'V.Good knowledge of relational databases,  (MySQL & MS-SQL).', 'Experience in mobile application-focused software development.', 'V.Good  experience with React Native.']",1 To 3 Years,"['APIs', 'Computer Science', 'Development', 'CSS', 'HTML', 'Information Technology (IT)', 'JavaScript', 'JSON', 'PHP', 'Software', 'Software Development', 'Software Engineering']"
6,UI Developer,2CooM,"6th of October, Giza",Full Time,Experienced (Non-Manager),"[""Bachelor's degree in Computer Science, or a related field."", 'Proven experience as a UI Developer or similar role, showcasing a portfolio of previous UI projects.', 'Proficiency in HTML, CSS, JavaScript, and other relevant front-end technologies.', 'Experience with UI frameworks and libraries, such as Bootstrap, React, or Angular.', 'Familiarity with responsive design principles and mobile-first development.', 'Strong understanding of user-centred design principles and best practices.', 'Excellent visual design skills with an eye for detail and a good sense of aesthetics.', 'Ability to work collaboratively in a team environment and communicate effectively.', 'Strong problem-solving and troubleshooting skills.', 'Familiarity with version control systems, such as Git.', 'Knowledge of back-end technologies and frameworks is a plus.']","['Collaborate with UX designers and front-end developers to translate wireframes and mockups into visually appealing and interactive user interfaces.', 'Develop and implement the front-end code, including HTML, CSS, and JavaScript, to create responsive and cross-browser-compatible UI elements.', 'Optimize the performance of UI elements and ensure smooth interaction and loading times.', 'Conduct usability testing and incorporate user feedback to improve the user interface design.', 'Stay up-to-date with the latest trends, techniques, and technologies in UI development and implement best practices.', 'Collaborate with back-end developers to integrate UI elements with the underlying systems.', 'Troubleshoot and debug UI issues to ensure a seamless user experience.', 'Ensure that the UI design is consistent with brand guidelines and maintains a cohesive visual identity.', 'Collaborate with stakeholders, including designers, developers, and product managers, to gather requirements and define project goals.', 'Document UI design and development processes, including code documentation and style guides.']",2 To 5 Years,"['JavaScript', 'CSS', 'HTML', 'Angular', 'Bootstrap', 'Computer Science', 'Information Technology (IT)', 'Git', 'React', 'Software Development', 'ui']"
7,Azure DevOps Engineer,National Technology,"Nasr City, Cairo",Full Time,Experienced (Non-Manager),[],[],1 To 3 Years,"['Agile', 'Computer Engineering', 'Computer Science', 'DevOps', 'Engineering', 'Docker', 'Information Technology (IT)', 'Linux', 'Software Development', 'Python', 'Jenkins', 'Git', 'Azure DevOps Server', 'Azure']"
8,Java Full Stack Developer,Dedalus,"Nasr City, Cairo",Full Time,Entry Level (Junior Level / Fresh Grad),"['Extremely fluent in Core Java, JSP and Servlets, EJB 3.0, Eclipse, Ajax, JavaScript and XML', 'Extremely fluent in Core Java, Spring boot, Rest API, Eclipse.', 'Strong Experience on JavaScript, JQuery, AJAX & JSON knowledge', 'Good hands-on experience in Oracle/Pl-SQL technologies.', 'Ability to write/debug and understand database business objects.', 'Expertise on HTML 5, CSS 3,UI Standards and development of browser agnostic web applications.', 'Excellent debugging skills; able to debug complex technical issues involving multiple system components.', 'Proven experience on Unit Test Automation (jUNIT)', 'Excellent at SOLID design principles and understanding of various other design patterns.', 'Effective problem-solving skills.', 'Experience with Agile methodologies.', 'Command of languages: English (Excellent)', 'Identify options for potential solutions and assess them for technical and business suitability', 'Keep abreast of technical and industry developments', 'Familiarity with version control systems such as TFS, Bit bucket, IBMs CM Synergy & code management principles.', 'Masters’ or bachelor’s degree in Computer Science, MIS, or Engineering', '1 – 2  years of relevant IT experience with solid technical exposure and', 'Candidate with more than 1+ Years should have experience in 4 or more real-time software development projects and handled/led 2 or more projects independently.', 'Should have experience on designing/developing large scale or mission critical applications, preferably in the field of Healthcare.', 'Exposure to Mobile platforms (Android/iOS) is an added advantage.', 'Passion for programming extends beyond working hours.', 'Experience of liaising extensively with external (onsite) or internal clients']",[],1 To 2 Years,"['core java', 'jsp', 'Servlets', 'EJB 3', 'healthcare', 'oracle', 'plsql', 'Spring Boot', 'RESTful APIs', 'Java Development', 'Java', 'EJB', 'Hibernate']"
9,Front End Developer,Smart Cards application,"6th of October, Giza",Full Time,Entry Level (Junior Level / Fresh Grad),"['Bachelor’s degree in Computer Science or Engineering.', '1-2 years of experience.', 'Proficiency with React Native and React JS.', 'Knowledge of REACT tools including Redux.', 'In-depth knowledge of JavaScript, CSS, HTML and front-end languages.', 'Familiar with Git.', 'Knowledge of Node.js is a plus.', 'Experience with browser-based debugging and performance testing software.', 'Excellent troubleshooting skills.', 'Self-motivated with an ability to work in cross platform technologies and to work on more than project at a time.']","['Meet with the development team to discuss user interface ideas and applications.', 'Review application requirements and interface designs.', 'Develop new highly responsive, web-based user interface.', 'Build performant mobile apps on both the iOS and Android platforms.', 'Implement visual elements and their behaviors with user interactions.', 'Solve any product related issue coming from customer side.', 'Work closely with UI/UX team']",1 To 2 Years,"['React Native', 'React.js', 'Information Technology (IT)', 'front-end', 'Computer Science']"
