,Job Title,company,Location,Employment Type,level,requirement,description,Experience Needed,skills
0,FronEnd Web Developer,ZINAD IT,"6th of October, Giza",Full Time,Experienced (Non-Manager),"['+3 years of experience with frontend web development.', 'Familiar with UI/UX and design tools.', 'Experienced in using HTML, Bootstrap, CSS and JavaScript.', 'Experienced in using front-end frameworks (ie: React, Angular, etc.)', 'Experienced in integrating with API endpoints.', 'Understanding and implementation of business, security and data protection.', 'Knowledge of front-end web-development best practices, including lazy-loading, responsive-design, cross-browser compatibility and CSS layout frameworks', 'Experience with Git version control', 'Strong problem-solving skills and ability to work in a fast-paced, collaborative environment', 'Knowledge of FlutterFlow is a plus', 'Experienced in browser development tools', 'Open for learning and adapting to new technologies as required']","['Develop, design & code high-quality, responsive web templates and new user-facing features. ', 'Ensure the technical feasibility of UI/UX designs. ', 'Optimize application for maximum speed, security and scalability. ', 'Assure that all user input is validated before submitting to back-end. ', 'Collaborate with backend developers to define and implement innovative solutions for the product direction & visuals.\n ']",3 To 5 Years,"['Angular', 'Bootstrap', 'Computer Science', 'CSS', 'Design', 'Git', 'HTML', 'Information Technology (IT)', 'JavaScript', 'Software Development', 'UI', 'Web Development']"
1,Full Stack Web developer,El,Malaz for Information Technology,Full Time,Experienced (Non-Manager),[],[],2 To 4 Years,"['.Net', 'Angular', 'Bootstrap', 'Computer Science', 'CSS3', 'Design', 'HTML5', 'Information Technology (IT)', 'JavaScript', 'Programming', 'Software Development', 'Typescript']"
2,.Net Web Developer -,CompactSoft International,"Nasr City, Cairo",Full Time,Experienced (Non-Manager),"['Proven experience as a .NET Developer or Application Developer', 'Familiarity with the ASP.NET framework, SQL Server and design/architectural patterns (e.g. Model-View-Controller (MVC))', 'Knowledge of at least one of the .NET languages (e.g. C#, Visual Basic .NET) and HTML5/CSS3', 'Familiarity with architecture styles/APIs (REST, RPC)', 'Understanding of Agile methodologies', 'Excellent troubleshooting and communication skills', 'Attention to detail', 'Bachelor Degree: BSc/BA in Computer Science, Engineering or a related field', 'Experience: .net developer with 3-5 years experience preferably in a software house, analysis, design.', 'Good knowledge of Bootstrap Editing Designs', 'JavaScript knowledge', 'Using SQL Server, SQL Script (T-SQL)', 'Knowledge and awareness of Javascript, JQuery and MVC']","['Write, modify, and debug software for client applications.', 'Use source debuggers and visual development environments.', 'Write code to create single-threaded or user interface event driven applications, either stand-alone and those which access servers or services.', 'Test and document software for client applications.', 'Interpret written business requirements and technical specification documents.', 'Perform coding to written technical specifications.', 'Investigate, analyze and document reported defects.', 'Perform maintenance programming and correction of identified defects.', 'Create, document, and implement unit test plans, scripts, and test harnesses.', 'Create and maintain technical documentation using defined technical documentation templates.', 'Performs related duties as assigned.']",5 To 10 Years,"['ASP.Net', 'Computer Engineering', 'Engineering', '.Net', 'Information Technology (IT)', 'Software Development', 'SQL', 'Web Development', 'Computer Science', 'JavaScript', 'MVC', 'jQuery']"
3,Fullstack Web Developer,ZINAD IT,"6th of October, Giza",Full Time,Experienced (Non-Manager),"['+3 years of experience as a Software Developer, with a focus on PHP/Laravel development', 'Strong familiarity with frontend frameworks such as Angular, React and Vue.js', 'Solid understanding of software development principles and best practices', 'Excellent knowledge of MySQL, including database design, optimization, and querying', 'Experience with continuous integration and continuous deployment (CI/CD) pipelines', 'Experience with version control systems, such as GitHub', 'Strong problem-solving skills and ability to work in a fast-paced, collaborative environment', 'Familiar with NoSQL databases, such as MongoDB', 'Familiar with Docker environments', 'Familiar with cloud providers such as AWS or GCP', 'Excellent communication and teamwork skills', 'Open for learning and adapting to new technologies as required']","['Design, implement and manage databases to ensure optimal performance and data integrity.', 'Utilize expertise in Laravel, PHP, and other relevant technologies to build robust and scalable applications.', 'Stay updated on industry trends and emerging technologies, recommending adoption as appropriate.', 'Enforce coding standards and best practices to ensure high-quality, maintainable code.', 'Conduct thorough testing, including unit testing, integration testing and performance testing.', 'Collaborate with cross-functional teams, including designers and product managers, to understand project requirements and deliver solutions.', 'Identify and address technical issues promptly, conducting root cause analysis and implementing solutions.', 'Write Software including scripts, classes, unit test cases, integration test cases, configuration files, styling files, documentation, infrastructure automation, and any information/code required to complete a task in whatever technology, language or framework required by the task.', 'Adequate learning time and training will be provided if you have not used that technology/language/framework before.', 'The standup meeting time is fixed and you must attend it with the rest of your team. This is a group meeting and cannot be a 1-to-1 meeting.', 'Occasionally, help ZINAD “professional services” team to accomplish deployment or debugging tasks by assisting either using remote meetings.\n ']",3 To 5 Years,"['Angular', 'AWS', 'Computer Science', 'Information Technology (IT)', 'Laravel', 'MySQL', 'PHP', 'React', 'Web Development', 'Software Development']"
4,Senior ASP.NET Web Developer,Confidential Company,"Nasr City, Cairo",Part Time,Experienced (Non-Manager),"['We are looking for finishers, stable and striving for excellence developers', 'Strong knowledge and Practical Experience of HTML/CSS and JQuery', 'Strong knowledge and Practical Experience of OOP and CMS Solutions', 'Strong knowledge and Practical Experience of ASP.NET, MS SQL Server 2008, MVC, Workflow Foundation and Web Services', 'Mobile and Node JS Programming Knowledge is a plus', 'ITI and CS Graduates are preferred but enthusiastic programmers from all disciplines are most welcome', 'Intelligent, Ambitious, hard worker and fast learner', '3+ Year Experience, We have very competitive packages proportional to skills and the ongoing performance.']","['He/She will be responsible for developing websites and web applications.', 'The candidates will explore new technologies and will be given all chances to learn new and productive tools.']",More Than 4 Years,"['Web Development', 'CSS', 'HTML', 'AJAX', 'javaScript', 'ASP.NET', 'Web Services', 'Node JS', 'OOP', 'Microsoft SQL Server', 'Software Design', 'Retail Software']"
5,Full Stack web developer (Laravel + Vue.js)- Remotely,Alexandria For Programming,"Riyadh, Saudi Arabia",Full Time,Experienced (Non-Manager),"[""Bachelor's degree in Computer Engineering, Computer Science, or any related subject."", 'Preferred to have more than 3 years of experience in PHP & vue.js', 'Must-Have Experience with MVC frameworks preferably “Laravel”.', 'Must have experience using commercial and social APIs and SDKs.', 'Strong working experience with Object-Oriented Programming and template systems.', 'Good understanding of security issues and accessibility issues.', 'Must be at least very good in the English language “Read & Write”.']","['Lead development team developers (web & flutter mobile) to achieve project goals.', 'Prepare low-level designs for team members, in collaboration with Solution/Software Architect.', 'Guides project teams on technology strategy related to coding practices, continuous integration, and automated deployment.', 'Problem-solving and planning for a software solution.', 'Be hands-on and engage in coding to help the team to develop its solution and solve all surfacing problems at hand Identifies and removes technical impediments.', 'Works with the Product Owner to align the roadmap with strengths and opportunities within the technical stack.', 'Troubleshoot, test, and maintain the core product software and databases to ensure strong optimization and functionality', 'Write clean and well-designed code.', 'Produce detailed specifications.', 'Accept newly added features from different vendors', 'Troubleshoot, test, and maintain the core product software and databases to ensure strong optimization and functionality.', 'Contribute to all phases of the development lifecycle.', 'Focus on work ethics, continuous learning, and desire to deliver the best inspires your team members.', 'Follow industry best practices.', 'Develop and deploy new features to facilitate related procedures and tools if necessary']",3 To 14 Years,"['Computer Engineering', 'APIs', 'Computer Science', 'English', 'Frameworks', 'Information Technology (IT)', 'Laravel', 'PHP', 'Programming', 'MVC', 'SDKs', 'Engineering', 'Communication', 'Software Development']"
6,Web Application Developer,Confidential Company,"New Cairo, Cairo",Full Time,Experienced (Non-Manager),[],[],3 Years,"['Web Development', 'application Developer']"
7,Web Development and SEO Expert,INK DROP,"Dubai, United Arab Emirates",Full Time,Not Specified,[],[],Not Specified,"['AWS', 'Angular', 'Computer Science', 'Front-End', 'Information Technology (IT)', 'Laravel', 'Software Development', 'Software Engineering', 'Amazon Cloud', 'Amazon Travel', 'AngularJS', 'Back-End', 'Backend', 'Cake PHP', 'Codeigniter', 'Codeignitor', 'Docker', 'Elastic Search', 'Engineering', 'Frontend']"
8,Senior Full Stack Web & Mobile Developer,Al Arab Group,"Cairo, Egypt",Full Time,Experienced (Non-Manager),"['Bachelor’s degree in Computer Science, Information Technology, or a related field.\n ', 'Proven experience as a Senior Web and Mobile Programmer with a minimum of 5 years in web and mobile application development.', 'Extensive experience with Laravel and PHP.', 'Strong background in database design and management.']","['Develop and maintain both front-end and back-end components of web and mobile applications.', 'Implement user interfaces for maximum usability and efficiency.', 'Design, implement, and manage databases to ensure optimal performance and data integrity.', 'Create and optimize complex SQL queries for efficient data retrieval and manipulation.', 'Technology Stack:', 'Utilize expertise in Laravel, PHP, and other relevant technologies to build robust and scalable applications.', 'Stay updated on industry trends and emerging technologies, recommending adoption as appropriate.', 'Enforce coding standards and best practices to ensure high-quality, maintainable code.', 'Conduct thorough testing, including unit testing, integration testing, and performance testing.', 'Collaborate with cross-functional teams, including designers and product managers, to understand project requirements and deliver solutions.', 'Identify and address technical issues promptly, conducting root cause analysis and implementing solutions.']",More Than 5 Years,"['Computer Science', 'Database', 'Information Technology (IT)', 'PHP', 'Laravel', 'JavaScript', 'Software Development', 'Database Design', 'Mobile', 'Web', 'Development']"
9,Junior Back End Web Developer 23008,Ditech Egypt,"Cairo, Egypt",Full Time,Experienced (Non-Manager),"['.NET 3.5/4.0 Framework, including', 'ASP.NET Core.', 'MVC and WCF Web Services', 'HTML, Javascript, CSS, jQuery, Angular and React.', 'AJAX and DEVEXPRESS toolkit.', 'Proficiency with Microsoft SQL Server in designing and optimizing databases.', 'Proficiency with ORACLE is a plus', 'Mobile application is a Plus', 'Experience in developing high performance and scalable web applications with large databases.', 'Strong experience designing and working with n-tier architectures (UI, Business Logic Layer).', 'Proficiency with smart card and System Integration is preferred', 'Strong problem-solving capability.']","['Designing and development of software platforms products components using Microsoft technologies.', 'Analyze business issues and technical problems independently, and come up with smart, logical solutions.', 'Participate in product releases through requirement reviews, development, deployment, setting up environments, documenting release notes and technical details regarding functionality and configuration.', 'Ensure quality of developed code. Review test plans with QA & drive the code reviews within the team.']",4 To 6 Years,"['C#', 'ASP.NET', 'SQL', '.NET', 'MVC', 'Angular', 'Computer Science', 'Information Technology (IT)', 'Microsoft SQL Server', 'CSS', 'HTML', 'jQuery', 'ADO.NET', 'Software Development', 'JavaScript', 'UI', 'Web Development']"
